qd_power,qdm1_power,terms,positive_terms,negative_terms,Y_min,Y_max,common_denominator,transport_half_power_depth,natural_transport_candidate,conservative_cube_candidate
1,0,19,12,7,-6,12,1083553873920,0,1,1
2,0,20,7,13,-6,13,1083553873920,0,1,1
3,0,19,11,8,-5,13,541776936960,0,1,1
4,0,19,8,11,-4,14,135444234240,0,1,1
5,0,18,11,7,-3,14,1083553873920,0,1,1
6,0,18,5,13,-2,15,154793410560,0,1,1
7,0,17,10,7,-1,15,77396705280,0,1,1
8,0,17,7,10,0,16,51597803520,0,1,1
9,0,15,8,7,2,16,51597803520,0,1,1
10,0,13,5,8,4,16,154793410560,0,1,1
11,0,11,7,4,6,16,38698352640,0,1,1
12,0,9,4,5,8,16,77396705280,0,1,1
13,0,7,5,2,10,16,38698352640,0,1,1
14,0,5,2,3,12,16,4299816960,0,1,1
15,0,3,2,1,14,16,1289945088,0,1,1
16,0,1,0,1,16,16,3439853568,0,1,1
1,1,20,12,8,-6,13,1083553873920,1,1/2,1/8
2,1,19,9,10,-5,13,270888468480,1,1/2,1/8
3,1,19,12,7,-4,14,541776936960,1,1/2,1/8
4,1,18,8,10,-3,14,541776936960,1,1/2,1/8
5,1,18,7,11,-2,15,1083553873920,1,1/2,1/8
6,1,17,10,7,-1,15,19349176320,1,1/2,1/8
7,1,17,7,10,0,16,77396705280,1,1/2,1/8
8,1,15,8,7,2,16,12899450880,1,1/2,1/8
9,1,15,7,8,3,17,51597803520,1,1/2,1/8
10,1,13,8,5,5,17,77396705280,1,1/2,1/8
11,1,11,5,6,7,17,77396705280,1,1/2,1/8
12,1,9,5,4,9,17,38698352640,1,1/2,1/8
13,1,7,2,5,11,17,38698352640,1,1/2,1/8
14,1,5,3,2,13,17,859963392,1,1/2,1/8
15,1,3,1,2,15,17,859963392,1,1/2,1/8
16,1,1,1,0,17,17,859963392,1,1/2,1/8
2,2,19,9,10,-4,14,541776936960,2,1/4,1/64
3,2,18,12,6,-3,14,2167107747840,2,1/4,1/64
4,2,18,6,12,-2,15,2167107747840,2,1/4,1/64
5,2,17,11,6,-1,15,2167107747840,2,1/4,1/64
6,2,17,8,9,0,16,309586821120,2,1/4,1/64
7,2,15,6,9,2,16,309586821120,2,1/4,1/64
8,2,15,6,9,3,17,103195607040,2,1/4,1/64
9,2,13,9,4,5,17,51597803520,2,1/4,1/64
10,2,13,4,9,6,18,51597803520,2,1/4,1/64
11,2,11,5,6,8,18,154793410560,2,1/4,1/64
12,2,9,3,6,10,18,154793410560,2,1/4,1/64
13,2,7,5,2,12,18,77396705280,2,1/4,1/64
14,2,5,2,3,14,18,3439853568,2,1/4,1/64
15,2,3,2,1,16,18,1719926784,2,1/4,1/64
16,2,1,0,1,18,18,3439853568,2,1/4,1/64
3,3,18,11,7,-2,15,2167107747840,3,1/8,1/512
4,3,17,5,12,-1,15,2167107747840,3,1/8,1/512
5,3,17,10,7,0,16,2167107747840,3,1/8,1/512
6,3,15,7,8,2,16,309586821120,3,1/8,1/512
7,3,15,6,9,3,17,309586821120,3,1/8,1/512
8,3,13,9,4,5,17,103195607040,3,1/8,1/512
9,3,13,6,7,6,18,103195607040,3,1/8,1/512
10,3,11,5,6,8,18,103195607040,3,1/8,1/512
11,3,11,6,5,9,19,103195607040,3,1/8,1/512
12,3,9,7,2,11,19,154793410560,3,1/8,1/512
13,3,7,3,4,13,19,51597803520,3,1/8,1/512
14,3,5,3,2,15,19,3439853568,3,1/8,1/512
15,3,3,1,2,17,19,3439853568,3,1/8,1/512
16,3,1,1,0,19,19,3439853568,3,1/8,1/512
4,4,17,8,9,0,16,2167107747840,4,1/16,1/4096
5,4,15,9,6,2,16,2476694568960,4,1/16,1/4096
6,4,15,8,7,3,17,2476694568960,4,1/16,1/4096
7,4,13,6,7,5,17,1238347284480,4,1/16,1/4096
8,4,13,7,6,6,18,206391214080,4,1/16,1/4096
9,4,11,5,6,8,18,412782428160,4,1/16,1/4096
10,4,11,4,7,9,19,412782428160,4,1/16,1/4096
11,4,9,6,3,11,19,206391214080,4,1/16,1/4096
12,4,9,2,7,12,20,412782428160,4,1/16,1/4096
13,4,7,3,4,14,20,103195607040,4,1/16,1/4096
14,4,5,2,3,16,20,13759414272,4,1/16,1/4096
15,4,3,2,1,18,20,6879707136,4,1/16,1/4096
16,4,1,0,1,20,20,27518828544,4,1/16,1/4096
5,5,15,9,6,3,17,2476694568960,5,1/32,1/32768
6,5,13,7,6,5,17,1238347284480,5,1/32,1/32768
7,5,13,7,6,6,18,1238347284480,5,1/32,1/32768
8,5,11,5,6,8,18,206391214080,5,1/32,1/32768
9,5,11,5,6,9,19,412782428160,5,1/32,1/32768
10,5,9,5,4,11,19,412782428160,5,1/32,1/32768
11,5,9,5,4,12,20,412782428160,5,1/32,1/32768
12,5,7,3,4,14,20,206391214080,5,1/32,1/32768
13,5,7,4,3,15,21,206391214080,5,1/32,1/32768
14,5,5,4,1,17,21,68797071360,5,1/32,1/32768
15,5,3,1,2,19,21,13759414272,5,1/32,1/32768
16,5,1,1,0,21,21,13759414272,5,1/32,1/32768
6,6,13,6,7,6,18,1238347284480,6,1/64,1/262144
7,6,11,5,6,8,18,1651129712640,6,1/64,1/262144
8,6,11,5,6,9,19,1651129712640,6,1/64,1/262144
9,6,9,4,5,11,19,825564856320,6,1/64,1/262144
10,6,9,6,3,12,20,412782428160,6,1/64,1/262144
11,6,7,3,4,14,20,825564856320,6,1/64,1/262144
12,6,7,2,5,15,21,825564856320,6,1/64,1/262144
13,6,5,3,2,17,21,412782428160,6,1/64,1/262144
14,6,5,1,4,18,22,55037657088,6,1/64,1/262144
15,6,3,1,2,20,22,27518828544,6,1/64,1/262144
16,6,1,0,1,22,22,55037657088,6,1/64,1/262144
7,7,11,6,5,9,19,1651129712640,7,1/128,1/2097152
8,7,9,5,4,11,19,1651129712640,7,1/128,1/2097152
9,7,9,5,4,12,20,1651129712640,7,1/128,1/2097152
10,7,7,4,3,14,20,1651129712640,7,1/128,1/2097152
11,7,7,3,4,15,21,1651129712640,7,1/128,1/2097152
12,7,5,3,2,17,21,825564856320,7,1/128,1/2097152
13,7,5,4,1,18,22,825564856320,7,1/128,1/2097152
14,7,3,1,2,20,22,55037657088,7,1/128,1/2097152
15,7,3,2,1,21,23,55037657088,7,1/128,1/2097152
16,7,1,1,0,23,23,55037657088,7,1/128,1/2097152
8,8,9,4,5,12,20,1651129712640,8,1/256,1/16777216
9,8,7,4,3,14,20,13209037701120,8,1/256,1/16777216
10,8,7,3,4,15,21,13209037701120,8,1/256,1/16777216
11,8,5,2,3,17,21,3302259425280,8,1/256,1/16777216
12,8,5,3,2,18,22,6604518850560,8,1/256,1/16777216
13,8,3,1,2,20,22,3302259425280,8,1/256,1/16777216
14,8,3,1,2,21,23,220150628352,8,1/256,1/16777216
15,8,1,0,1,23,23,110075314176,8,1/256,1/16777216
16,8,1,0,1,24,24,880602513408,8,1/256,1/16777216
9,9,7,5,2,15,21,13209037701120,9,1/512,1/134217728
10,9,5,2,3,17,21,9906778275840,9,1/512,1/134217728
11,9,5,2,3,18,22,9906778275840,9,1/512,1/134217728
12,9,3,2,1,20,22,9906778275840,9,1/512,1/134217728
13,9,3,1,2,21,23,4953389137920,9,1/512,1/134217728
14,9,1,1,0,23,23,27518828544,9,1/512,1/134217728
15,9,1,1,0,24,24,330225942528,9,1/512,1/134217728
10,10,5,3,2,18,22,19813556551680,10,1/1024,1/1073741824
11,10,3,1,2,20,22,9906778275840,10,1/1024,1/1073741824
12,10,3,2,1,21,23,4953389137920,10,1/1024,1/1073741824
13,10,1,0,1,23,23,309586821120,10,1/1024,1/1073741824
14,10,1,0,1,24,24,366917713920,10,1/1024,1/1073741824
11,11,3,1,2,21,23,9906778275840,11,1/2048,1/8589934592
12,11,1,0,1,23,23,4953389137920,11,1/2048,1/8589934592
13,11,1,1,0,24,24,4953389137920,11,1/2048,1/8589934592
12,12,1,0,1,24,24,39627113103360,12,1/4096,1/68719476736
