family,role,qd_power,qdm1_power,Y_power,coefficient,sign,monomial
Delta^4,delta,4,0,-6,-51712/4725,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-6,-51712/4725,-,Y^-6*q_d^3*q_{d-1}
Delta^4,delta,4,0,-5,-6486784/8505,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-5,-6486784/8505,-,Y^-5*q_d^3*q_{d-1}
Delta^4,delta,4,0,-4,-880601104/42525,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-4,-880601104/42525,-,Y^-4*q_d^3*q_{d-1}
Delta^4,delta,4,0,-3,-2282443976/8505,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-3,-2282443976/8505,-,Y^-3*q_d^3*q_{d-1}
Delta^4,delta,4,0,-2,-23151967780/15309,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-2,-23151967780/15309,-,Y^-2*q_d^3*q_{d-1}
Delta^4,delta,4,0,-1,-37044959086/382725,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-1,-37044959086/382725,-,Y^-1*q_d^3*q_{d-1}
Delta^4,delta,4,0,0,56259169109779/1837080,+,Delta^4
Delta^4,residual_mixed_depth,3,1,0,56259169109779/1837080,+,q_d^3*q_{d-1}
Delta^4,delta,4,0,1,980460348577417/23619600,+,Delta^4
Delta^4,residual_mixed_depth,3,1,1,980460348577417/23619600,+,Y*q_d^3*q_{d-1}
Delta^4,delta,4,0,2,-4180194069472289/12597120,-,Delta^4
Delta^4,residual_mixed_depth,3,1,2,-4180194069472289/12597120,-,Y^2*q_d^3*q_{d-1}
Delta^4,delta,4,0,3,-888623353524039101/3401222400,-,Delta^4
Delta^4,residual_mixed_depth,3,1,3,-888623353524039101/3401222400,-,Y^3*q_d^3*q_{d-1}
Delta^4,delta,4,0,4,1114418132301848153099/489776025600,+,Delta^4
Delta^4,residual_mixed_depth,3,1,4,1114418132301848153099/489776025600,+,Y^4*q_d^3*q_{d-1}
Delta^4,delta,4,0,5,-707344722615480371833/979552051200,-,Delta^4
Delta^4,residual_mixed_depth,3,1,5,-707344722615480371833/979552051200,-,Y^5*q_d^3*q_{d-1}
Delta^4,delta,4,0,6,-14452435186114594569917/1959104102400,-,Delta^4
Delta^4,residual_mixed_depth,3,1,6,-14452435186114594569917/1959104102400,-,Y^6*q_d^3*q_{d-1}
Delta^4,delta,4,0,7,7200085269254520389257/783641640960,+,Delta^4
Delta^4,residual_mixed_depth,3,1,7,7200085269254520389257/783641640960,+,Y^7*q_d^3*q_{d-1}
Delta^4,delta,4,0,8,7145103207140786985469/1306069401600,+,Delta^4
Delta^4,residual_mixed_depth,3,1,8,7145103207140786985469/1306069401600,+,Y^8*q_d^3*q_{d-1}
Delta^4,delta,4,0,9,-71616497063053106099/4031078400,-,Delta^4
Delta^4,residual_mixed_depth,3,1,9,-71616497063053106099/4031078400,-,Y^9*q_d^3*q_{d-1}
Delta^4,delta,4,0,10,22924868897284455716123/2612138803200,+,Delta^4
Delta^4,residual_mixed_depth,3,1,10,22924868897284455716123/2612138803200,+,Y^10*q_d^3*q_{d-1}
Delta^4,delta,4,0,11,24200564971885061165791/3918208204800,+,Delta^4
Delta^4,residual_mixed_depth,3,1,11,24200564971885061165791/3918208204800,+,Y^11*q_d^3*q_{d-1}
Delta^4,delta,4,0,12,-953336728997650878092387/125382662553600,-,Delta^4
Delta^4,residual_mixed_depth,3,1,12,-953336728997650878092387/125382662553600,-,Y^12*q_d^3*q_{d-1}
Delta^4,delta,4,0,13,139016564010779719532359/83588441702400,+,Delta^4
Delta^4,residual_mixed_depth,3,1,13,139016564010779719532359/83588441702400,+,Y^13*q_d^3*q_{d-1}
Delta^4,delta,4,0,14,13199728242198717191399/18575209267200,+,Delta^4
Delta^4,residual_mixed_depth,3,1,14,13199728242198717191399/18575209267200,+,Y^14*q_d^3*q_{d-1}
Delta^4,delta,4,0,15,-86290969801835449732739/334353766809600,-,Delta^4
Delta^4,residual_mixed_depth,3,1,15,-86290969801835449732739/334353766809600,-,Y^15*q_d^3*q_{d-1}
Delta^4,delta,4,0,16,-1207688416246182550981/111451255603200,-,Delta^4
Delta^4,residual_mixed_depth,3,1,16,-1207688416246182550981/111451255603200,-,Y^16*q_d^3*q_{d-1}
Delta^4,delta,4,0,17,-109819314929975/15479341056,-,Delta^4
Delta^4,residual_mixed_depth,3,1,17,-109819314929975/15479341056,-,Y^17*q_d^3*q_{d-1}
Delta^5,delta,5,0,-5,816128/14175,+,Delta^5
Delta^5,residual_mixed_depth,4,1,-5,816128/14175,+,Y^-5*q_d^4*q_{d-1}
Delta^5,delta,5,0,-4,127570816/42525,+,Delta^5
Delta^5,residual_mixed_depth,4,1,-4,127570816/42525,+,Y^-4*q_d^4*q_{d-1}
Delta^5,delta,5,0,-3,157385248/2835,+,Delta^5
Delta^5,residual_mixed_depth,4,1,-3,157385248/2835,+,Y^-3*q_d^4*q_{d-1}
Delta^5,delta,5,0,-2,2091610760/5103,+,Delta^5
Delta^5,residual_mixed_depth,4,1,-2,2091610760/5103,+,Y^-2*q_d^4*q_{d-1}
Delta^5,delta,5,0,-1,851027956/2187,+,Delta^5
Delta^5,residual_mixed_depth,4,1,-1,851027956/2187,+,Y^-1*q_d^4*q_{d-1}
Delta^5,delta,5,0,0,-704525210911/85050,-,Delta^5
Delta^5,residual_mixed_depth,4,1,0,-704525210911/85050,-,q_d^4*q_{d-1}
Delta^5,delta,5,0,1,-11178971134213/656100,-,Delta^5
Delta^5,residual_mixed_depth,4,1,1,-11178971134213/656100,-,Y*q_d^4*q_{d-1}
Delta^5,delta,5,0,2,98293005242089/1049760,+,Delta^5
Delta^5,residual_mixed_depth,4,1,2,98293005242089/1049760,+,Y^2*q_d^4*q_{d-1}
Delta^5,delta,5,0,3,2337223405656947/18895680,+,Delta^5
Delta^5,residual_mixed_depth,4,1,3,2337223405656947/18895680,+,Y^3*q_d^4*q_{d-1}
Delta^5,delta,5,0,4,-1766939024995988519/2550916800,-,Delta^5
Delta^5,residual_mixed_depth,4,1,4,-1766939024995988519/2550916800,-,Y^4*q_d^4*q_{d-1}
Delta^5,delta,5,0,5,-7001549072733428657/244888012800,-,Delta^5
Delta^5,residual_mixed_depth,4,1,5,-7001549072733428657/244888012800,-,Y^5*q_d^4*q_{d-1}
Delta^5,delta,5,0,6,3504222582738890159/1360488960,+,Delta^5
Delta^5,residual_mixed_depth,4,1,6,3504222582738890159/1360488960,+,Y^6*q_d^4*q_{d-1}
Delta^5,delta,5,0,7,-313803159602074665431/130606940160,-,Delta^5
Delta^5,residual_mixed_depth,4,1,7,-313803159602074665431/130606940160,-,Y^7*q_d^4*q_{d-1}
Delta^5,delta,5,0,8,-774611291216851691093/261213880320,-,Delta^5
Delta^5,residual_mixed_depth,4,1,8,-774611291216851691093/261213880320,-,Y^8*q_d^4*q_{d-1}
Delta^5,delta,5,0,9,223873615086755035463/36279705600,+,Delta^5
Delta^5,residual_mixed_depth,4,1,9,223873615086755035463/36279705600,+,Y^9*q_d^4*q_{d-1}
Delta^5,delta,5,0,10,-1240699877693689870943/696570347520,-,Delta^5
Delta^5,residual_mixed_depth,4,1,10,-1240699877693689870943/696570347520,-,Y^10*q_d^4*q_{d-1}
Delta^5,delta,5,0,11,-207977200722132909306883/62691331276800,-,Delta^5
Delta^5,residual_mixed_depth,4,1,11,-207977200722132909306883/62691331276800,-,Y^11*q_d^4*q_{d-1}
Delta^5,delta,5,0,12,11751909669664558324609/4179422085120,+,Delta^5
Delta^5,residual_mixed_depth,4,1,12,11751909669664558324609/4179422085120,+,Y^12*q_d^4*q_{d-1}
Delta^5,delta,5,0,13,-30567302530815558547109/125382662553600,-,Delta^5
Delta^5,residual_mixed_depth,4,1,13,-30567302530815558547109/125382662553600,-,Y^13*q_d^4*q_{d-1}
Delta^5,delta,5,0,14,-218491669162412223149831/501530650214400,-,Delta^5
Delta^5,residual_mixed_depth,4,1,14,-218491669162412223149831/501530650214400,-,Y^14*q_d^4*q_{d-1}
Delta^5,delta,5,0,15,105493149508497546724663/1003061300428800,+,Delta^5
Delta^5,residual_mixed_depth,4,1,15,105493149508497546724663/1003061300428800,+,Y^15*q_d^4*q_{d-1}
Delta^5,delta,5,0,16,3684687750355385528573/334353766809600,+,Delta^5
Delta^5,residual_mixed_depth,4,1,16,3684687750355385528573/334353766809600,+,Y^16*q_d^4*q_{d-1}
Delta^5,delta,5,0,17,5002865827924153/123834728448,+,Delta^5
Delta^5,residual_mixed_depth,4,1,17,5002865827924153/123834728448,+,Y^17*q_d^4*q_{d-1}
Delta^6,delta,6,0,-4,-2712064/14175,-,Delta^6
Delta^6,residual_mixed_depth,5,1,-4,-2712064/14175,-,Y^-4*q_d^5*q_{d-1}
Delta^6,delta,6,0,-3,-58738688/8505,-,Delta^6
Delta^6,residual_mixed_depth,5,1,-3,-58738688/8505,-,Y^-3*q_d^5*q_{d-1}
Delta^6,delta,6,0,-2,-132598376/1701,-,Delta^6
Delta^6,residual_mixed_depth,5,1,-2,-132598376/1701,-,Y^-2*q_d^5*q_{d-1}
Delta^6,delta,6,0,-1,-672346064/3645,-,Delta^6
Delta^6,residual_mixed_depth,5,1,-1,-672346064/3645,-,Y^-1*q_d^5*q_{d-1}
Delta^6,delta,6,0,0,253475033969/153090,+,Delta^6
Delta^6,residual_mixed_depth,5,1,0,253475033969/153090,+,q_d^5*q_{d-1}
Delta^6,delta,6,0,1,1224519179887/218700,+,Delta^6
Delta^6,residual_mixed_depth,5,1,1,1224519179887/218700,+,Y*q_d^5*q_{d-1}
Delta^6,delta,6,0,2,-109251343753481/5248800,-,Delta^6
Delta^6,residual_mixed_depth,5,1,2,-109251343753481/5248800,-,Y^2*q_d^5*q_{d-1}
Delta^6,delta,6,0,3,-1446769825420879/31492800,-,Delta^6
Delta^6,residual_mixed_depth,5,1,3,-1446769825420879/31492800,-,Y^3*q_d^5*q_{d-1}
Delta^6,delta,6,0,4,979216826983493/5598720,+,Delta^6
Delta^6,residual_mixed_depth,5,1,4,979216826983493/5598720,+,Y^4*q_d^5*q_{d-1}
Delta^6,delta,6,0,5,734709157093086557/8162933760,+,Delta^6
Delta^6,residual_mixed_depth,5,1,5,734709157093086557/8162933760,+,Y^5*q_d^5*q_{d-1}
Delta^6,delta,6,0,6,-369120877130235217697/489776025600,-,Delta^6
Delta^6,residual_mixed_depth,5,1,6,-369120877130235217697/489776025600,-,Y^6*q_d^5*q_{d-1}
Delta^6,delta,6,0,7,881234119316053429913/1959104102400,+,Delta^6
Delta^6,residual_mixed_depth,5,1,7,881234119316053429913/1959104102400,+,Y^7*q_d^5*q_{d-1}
Delta^6,delta,6,0,8,1553137878641775344873/1306069401600,+,Delta^6
Delta^6,residual_mixed_depth,5,1,8,1553137878641775344873/1306069401600,+,Y^8*q_d^5*q_{d-1}
Delta^6,delta,6,0,9,-30053718587063166421/17414258688,-,Delta^6
Delta^6,residual_mixed_depth,5,1,9,-30053718587063166421/17414258688,-,Y^9*q_d^5*q_{d-1}
Delta^6,delta,6,0,10,30540206878658909137/2089711042560,+,Delta^6
Delta^6,residual_mixed_depth,5,1,10,30540206878658909137/2089711042560,+,Y^10*q_d^5*q_{d-1}
Delta^6,delta,6,0,11,9436858562488301118013/6965703475200,+,Delta^6
Delta^6,residual_mixed_depth,5,1,11,9436858562488301118013/6965703475200,+,Y^11*q_d^5*q_{d-1}
Delta^6,delta,6,0,12,-19806027559085070861719/25076532510720,-,Delta^6
Delta^6,residual_mixed_depth,5,1,12,-19806027559085070861719/25076532510720,-,Y^12*q_d^5*q_{d-1}
Delta^6,delta,6,0,13,-5478360470471203029323/50153065021440,-,Delta^6
Delta^6,residual_mixed_depth,5,1,13,-5478360470471203029323/50153065021440,-,Y^13*q_d^5*q_{d-1}
Delta^6,delta,6,0,14,50542562486586955666189/250765325107200,+,Delta^6
Delta^6,residual_mixed_depth,5,1,14,50542562486586955666189/250765325107200,+,Y^14*q_d^5*q_{d-1}
Delta^6,delta,6,0,15,-34972362086925685121/1238347284480,-,Delta^6
Delta^6,residual_mixed_depth,5,1,15,-34972362086925685121/1238347284480,-,Y^15*q_d^5*q_{d-1}
Delta^6,delta,6,0,16,-8211265604441599346297/1003061300428800,-,Delta^6
Delta^6,residual_mixed_depth,5,1,16,-8211265604441599346297/1003061300428800,-,Y^16*q_d^5*q_{d-1}
Delta^6,delta,6,0,17,-2376892461960877/23219011584,-,Delta^6
Delta^6,residual_mixed_depth,5,1,17,-2376892461960877/23219011584,-,Y^17*q_d^5*q_{d-1}
Delta^6,delta,6,0,18,-2137490209183/61917364224,-,Delta^6
