qd_power,qdm1_power,terms,positive_terms,negative_terms,Y_min,Y_max,common_denominator,transport_half_power_depth,natural_transport_candidate,conservative_cube_candidate
1,0,14,8,6,-4,9,268738560,0,1,1
2,0,15,6,9,-4,10,134369280,0,1,1
3,0,14,9,5,-3,10,268738560,0,1,1
4,0,14,6,8,-2,11,268738560,0,1,1
5,0,13,8,5,-1,11,268738560,0,1,1
6,0,13,5,8,0,12,268738560,0,1,1
7,0,11,6,5,2,12,134369280,0,1,1
8,0,9,4,5,4,12,268738560,0,1,1
9,0,7,5,2,6,12,268738560,0,1,1
10,0,5,2,3,8,12,268738560,0,1,1
11,0,3,2,1,10,12,8957952,0,1,1
12,0,1,0,1,12,12,17915904,0,1,1
1,1,15,9,6,-4,10,268738560,1,1/2,1/8
2,1,14,6,8,-3,10,537477120,1,1/2,1/8
3,1,14,7,7,-2,11,537477120,1,1/2,1/8
4,1,13,8,5,-1,11,537477120,1,1/2,1/8
5,1,13,4,9,0,12,537477120,1,1/2,1/8
6,1,11,6,5,2,12,537477120,1,1/2,1/8
7,1,11,6,5,3,13,537477120,1,1/2,1/8
8,1,9,6,3,5,13,268738560,1,1/2,1/8
9,1,7,2,5,7,13,268738560,1,1/2,1/8
10,1,5,3,2,9,13,268738560,1,1/2,1/8
11,1,3,1,2,11,13,17915904,1,1/2,1/8
12,1,1,1,0,13,13,5971968,1,1/2,1/8
2,2,14,7,7,-2,11,537477120,2,1/4,1/64
3,2,13,7,6,-1,11,268738560,2,1/4,1/64
4,2,13,7,6,0,12,1074954240,2,1/4,1/64
5,2,11,5,6,2,12,1074954240,2,1/4,1/64
6,2,11,6,5,3,13,537477120,2,1/4,1/64
7,2,9,5,4,5,13,1074954240,2,1/4,1/64
8,2,9,2,7,6,14,1074954240,2,1/4,1/64
9,2,7,4,3,8,14,1074954240,2,1/4,1/64
10,2,5,2,3,10,14,1074954240,2,1/4,1/64
11,2,3,2,1,12,14,11943936,2,1/4,1/64
12,2,1,0,1,14,14,23887872,2,1/4,1/64
3,3,13,9,4,0,12,268738560,3,1/8,1/512
4,3,11,4,7,2,12,2149908480,3,1/8,1/512
5,3,11,5,6,3,13,2149908480,3,1/8,1/512
6,3,9,6,3,5,13,537477120,3,1/8,1/512
7,3,9,3,6,6,14,214990848,3,1/8,1/512
8,3,7,4,3,8,14,1074954240,3,1/8,1/512
9,3,7,4,3,9,15,537477120,3,1/8,1/512
10,3,5,3,2,11,15,537477120,3,1/8,1/512
11,3,3,1,2,13,15,35831808,3,1/8,1/512
12,3,1,1,0,15,15,35831808,3,1/8,1/512
4,4,11,5,6,3,13,2149908480,4,1/16,1/4096
5,4,9,4,5,5,13,2149908480,4,1/16,1/4096
6,4,9,4,5,6,14,4299816960,4,1/16,1/4096
7,4,7,2,5,8,14,429981696,4,1/16,1/4096
8,4,7,3,4,9,15,859963392,4,1/16,1/4096
9,4,5,3,2,11,15,4299816960,4,1/16,1/4096
10,4,5,1,4,12,16,859963392,4,1/16,1/4096
11,4,3,2,1,14,16,143327232,4,1/16,1/4096
12,4,1,0,1,16,16,95551488,4,1/16,1/4096
5,5,9,6,3,6,14,2149908480,5,1/32,1/32768
6,5,7,3,4,8,14,8599633920,5,1/32,1/32768
7,5,7,4,3,9,15,8599633920,5,1/32,1/32768
8,5,5,3,2,11,15,4299816960,5,1/32,1/32768
9,5,5,2,3,12,16,4299816960,5,1/32,1/32768
10,5,3,1,2,14,16,4299816960,5,1/32,1/32768
11,5,3,2,1,15,17,95551488,5,1/32,1/32768
12,5,1,1,0,17,17,95551488,5,1/32,1/32768
6,6,7,2,5,9,15,8599633920,6,1/64,1/262144
7,6,5,3,2,11,15,17199267840,6,1/64,1/262144
8,6,5,3,2,12,16,17199267840,6,1/64,1/262144
9,6,3,1,2,14,16,17199267840,6,1/64,1/262144
10,6,3,2,1,15,17,17199267840,6,1/64,1/262144
11,6,1,0,1,17,17,573308928,6,1/64,1/262144
12,6,1,0,1,18,18,1146617856,6,1/64,1/262144
7,7,5,3,2,12,16,17199267840,7,1/128,1/2097152
8,7,3,2,1,14,16,17199267840,7,1/128,1/2097152
9,7,3,1,2,15,17,8599633920,7,1/128,1/2097152
10,7,1,1,0,17,17,2149908480,7,1/128,1/2097152
11,7,1,1,0,18,18,573308928,7,1/128,1/2097152
8,8,3,2,1,15,17,17199267840,8,1/256,1/16777216
9,8,1,0,1,17,17,8599633920,8,1/256,1/16777216
10,8,1,0,1,18,18,17199267840,8,1/256,1/16777216
9,9,1,1,0,18,18,8599633920,9,1/512,1/134217728
