x_power,Y_power,q_power,coefficient,monomial
1,-3,0,-16/3,x*Y^-3
1,-2,0,-656/9,x*Y^-2
1,-1,0,-1562/9,x*Y^-1
1,0,0,37288/81,x
1,1,0,2549831/3888,x*Y
1,2,0,-640181/432,x*Y^2
1,3,0,6239/7776,x*Y^3
1,4,0,5253203/5184,x*Y^4
1,5,0,-2244445/6912,x*Y^5
1,6,0,-12005/162,x*Y^6
2,-2,0,-16/3,x^2*Y^-2
2,-1,0,200/9,x^2*Y^-1
2,0,0,20/3,x^2
2,1,0,-29642/81,x^2*Y
2,2,0,1709845/3888,x^2*Y^2
2,3,0,364633/864,x^2*Y^3
2,4,0,-6139411/7776,x^2*Y^4
2,5,0,2989/16,x^2*Y^5
2,6,0,314531/3888,x^2*Y^6
3,0,0,-56/9,x^3
3,1,0,27/2,x^3*Y
3,2,0,323/27,x^3*Y^2
3,3,0,-929477/7776,x^3*Y^3
3,4,0,23575/162,x^3*Y^4
3,5,0,-1091377/62208,x^3*Y^5
3,6,0,-16807/576,x^3*Y^6
4,2,0,-49/18,x^4*Y^2
4,3,0,2597/648,x^4*Y^3
4,4,0,-8113/3888,x^4*Y^4
4,5,0,-3479/1152,x^4*Y^5
4,6,0,55223/15552,x^4*Y^6
5,4,0,-343/648,x^5*Y^4
5,5,0,16807/62208,x^5*Y^5
5,6,0,2401/20736,x^5*Y^6
6,6,0,-2401/62208,x^6*Y^6
0,-3,1,16/3,Y^-3*q_d
0,-2,1,680/9,Y^-2*q_d
0,-1,1,622/3,Y^-1*q_d
0,0,1,-32671/81,q_d
0,1,1,-3523799/3888,Y*q_d
0,2,1,10743811/7776,Y^2*q_d
0,3,1,533845/864,Y^3*q_d
0,4,1,-2276645/1728,Y^4*q_d
0,5,1,979265/6912,Y^5*q_d
0,6,1,924385/4608,Y^6*q_d
1,-2,1,64/3,x*Y^-2*q_d
1,-1,1,184/9,x*Y^-1*q_d
1,0,1,-1694/9,x*q_d
1,1,1,30197/81,x*Y*q_d
1,2,1,315817/1944,x*Y^2*q_d
1,3,1,-9452231/7776,x*Y^3*q_d
1,4,1,14216567/15552,x*Y^4*q_d
1,5,1,42532/243,x*Y^5*q_d
1,6,1,-895573/3456,x*Y^6*q_d
2,0,1,80/9,x^2*q_d
2,1,1,403/6,x^2*Y*q_d
2,2,1,-18857/108,x^2*Y^2*q_d
2,3,1,1044521/7776,x^2*Y^3*q_d
2,4,1,197225/5184,x^2*Y^4*q_d
2,5,1,-9206267/62208,x^2*Y^5*q_d
2,6,1,9534371/124416,x^2*Y^6*q_d
3,2,1,14/9,x^3*Y^2*q_d
3,3,1,17311/648,x^3*Y^3*q_d
3,4,1,-308497/7776,x^3*Y^4*q_d
3,5,1,263767/31104,x^3*Y^5*q_d
3,6,1,256907/62208,x^3*Y^6*q_d
4,4,1,245/324,x^4*Y^4*q_d
4,5,1,179585/62208,x^4*Y^5*q_d
