family,role,qd_power,qdm1_power,Y_power,coefficient,sign,monomial
Delta^4,delta,4,0,-2,-736/45,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-2,-736/45,-,Y^-2*q_d^3*q_{d-1}
Delta^4,delta,4,0,-1,-1264/5,-,Delta^4
Delta^4,residual_mixed_depth,3,1,-1,-1264/5,-,Y^-1*q_d^3*q_{d-1}
Delta^4,delta,4,0,0,-3557/9,-,Delta^4
Delta^4,residual_mixed_depth,3,1,0,-3557/9,-,q_d^3*q_{d-1}
Delta^4,delta,4,0,1,2153855/486,+,Delta^4
Delta^4,residual_mixed_depth,3,1,1,2153855/486,+,Y*q_d^3*q_{d-1}
Delta^4,delta,4,0,2,1842935/972,+,Delta^4
Delta^4,residual_mixed_depth,3,1,2,1842935/972,+,Y^2*q_d^3*q_{d-1}
Delta^4,delta,4,0,3,-267115139/9720,-,Delta^4
Delta^4,residual_mixed_depth,3,1,3,-267115139/9720,-,Y^3*q_d^3*q_{d-1}
Delta^4,delta,4,0,4,159321407039/8398080,+,Delta^4
Delta^4,residual_mixed_depth,3,1,4,159321407039/8398080,+,Y^4*q_d^3*q_{d-1}
Delta^4,delta,4,0,5,145045672337/3359232,+,Delta^4
Delta^4,residual_mixed_depth,3,1,5,145045672337/3359232,+,Y^5*q_d^3*q_{d-1}
Delta^4,delta,4,0,6,-399145022729/6718464,-,Delta^4
Delta^4,residual_mixed_depth,3,1,6,-399145022729/6718464,-,Y^6*q_d^3*q_{d-1}
Delta^4,delta,4,0,7,328149383149/67184640,+,Delta^4
Delta^4,residual_mixed_depth,3,1,7,328149383149/67184640,+,Y^7*q_d^3*q_{d-1}
Delta^4,delta,4,0,8,3008537360213/134369280,+,Delta^4
Delta^4,residual_mixed_depth,3,1,8,3008537360213/134369280,+,Y^8*q_d^3*q_{d-1}
Delta^4,delta,4,0,9,-651018741289/89579520,-,Delta^4
Delta^4,residual_mixed_depth,3,1,9,-651018741289/89579520,-,Y^9*q_d^3*q_{d-1}
Delta^4,delta,4,0,10,-249507624611/268738560,-,Delta^4
Delta^4,residual_mixed_depth,3,1,10,-249507624611/268738560,-,Y^10*q_d^3*q_{d-1}
Delta^4,delta,4,0,11,-4117715/2985984,-,Delta^4
Delta^4,residual_mixed_depth,3,1,11,-4117715/2985984,-,Y^11*q_d^3*q_{d-1}
Delta^5,delta,5,0,-1,64/3,+,Delta^5
Delta^5,residual_mixed_depth,4,1,-1,64/3,+,Y^-1*q_d^4*q_{d-1}
Delta^5,delta,5,0,0,4952/45,+,Delta^5
Delta^5,residual_mixed_depth,4,1,0,4952/45,+,q_d^4*q_{d-1}
Delta^5,delta,5,0,1,-17386/27,-,Delta^5
Delta^5,residual_mixed_depth,4,1,1,-17386/27,-,Y*q_d^4*q_{d-1}
Delta^5,delta,5,0,2,-270020/243,-,Delta^5
Delta^5,residual_mixed_depth,4,1,2,-270020/243,-,Y^2*q_d^4*q_{d-1}
Delta^5,delta,5,0,3,11279723/1944,+,Delta^5
Delta^5,residual_mixed_depth,4,1,3,11279723/1944,+,Y^3*q_d^4*q_{d-1}
Delta^5,delta,5,0,4,-29543083/46656,-,Delta^5
Delta^5,residual_mixed_depth,4,1,4,-29543083/46656,-,Y^4*q_d^4*q_{d-1}
Delta^5,delta,5,0,5,-63144597169/4199040,-,Delta^5
Delta^5,residual_mixed_depth,4,1,5,-63144597169/4199040,-,Y^5*q_d^4*q_{d-1}
Delta^5,delta,5,0,6,30221824883/2239488,+,Delta^5
Delta^5,residual_mixed_depth,4,1,6,30221824883/2239488,+,Y^6*q_d^4*q_{d-1}
Delta^5,delta,5,0,7,22196026349/4478976,+,Delta^5
Delta^5,residual_mixed_depth,4,1,7,22196026349/4478976,+,Y^7*q_d^4*q_{d-1}
Delta^5,delta,5,0,8,-1263323735303/134369280,-,Delta^5
Delta^5,residual_mixed_depth,4,1,8,-1263323735303/134369280,-,Y^8*q_d^4*q_{d-1}
Delta^5,delta,5,0,9,151049764103/89579520,+,Delta^5
Delta^5,residual_mixed_depth,4,1,9,151049764103/89579520,+,Y^9*q_d^4*q_{d-1}
Delta^5,delta,5,0,10,10102766933/13436928,+,Delta^5
Delta^5,residual_mixed_depth,4,1,10,10102766933/13436928,+,Y^10*q_d^4*q_{d-1}
Delta^5,delta,5,0,11,117649/17496,+,Delta^5
Delta^5,residual_mixed_depth,4,1,11,117649/17496,+,Y^11*q_d^4*q_{d-1}
Delta^6,delta,6,0,0,-32/3,-,Delta^6
Delta^6,residual_mixed_depth,5,1,0,-32/3,-,q_d^5*q_{d-1}
Delta^6,delta,6,0,1,128/3,+,Delta^6
Delta^6,residual_mixed_depth,5,1,1,128/3,+,Y*q_d^5*q_{d-1}
Delta^6,delta,6,0,2,12421/54,+,Delta^6
Delta^6,residual_mixed_depth,5,1,2,12421/54,+,Y^2*q_d^5*q_{d-1}
Delta^6,delta,6,0,3,-364601/486,-,Delta^6
Delta^6,residual_mixed_depth,5,1,3,-364601/486,-,Y^3*q_d^5*q_{d-1}
Delta^6,delta,6,0,4,-10280885/15552,-,Delta^6
Delta^6,residual_mixed_depth,5,1,4,-10280885/15552,-,Y^4*q_d^5*q_{d-1}
Delta^6,delta,6,0,5,312861019/93312,+,Delta^6
Delta^6,residual_mixed_depth,5,1,5,312861019/93312,+,Y^5*q_d^5*q_{d-1}
Delta^6,delta,6,0,6,-51031963183/33592320,-,Delta^6
Delta^6,residual_mixed_depth,5,1,6,-51031963183/33592320,-,Y^6*q_d^5*q_{d-1}
Delta^6,delta,6,0,7,-40170482681/13436928,-,Delta^6
Delta^6,residual_mixed_depth,5,1,7,-40170482681/13436928,-,Y^7*q_d^5*q_{d-1}
Delta^6,delta,6,0,8,355738799843/134369280,+,Delta^6
Delta^6,residual_mixed_depth,5,1,8,355738799843/134369280,+,Y^8*q_d^5*q_{d-1}
Delta^6,delta,6,0,9,7000054789/89579520,+,Delta^6
Delta^6,residual_mixed_depth,5,1,9,7000054789/89579520,+,Y^9*q_d^5*q_{d-1}
Delta^6,delta,6,0,10,-54663636629/134369280,-,Delta^6
Delta^6,residual_mixed_depth,5,1,10,-54663636629/134369280,-,Y^10*q_d^5*q_{d-1}
Delta^6,delta,6,0,11,-7647185/559872,-,Delta^6
Delta^6,residual_mixed_depth,5,1,11,-7647185/559872,-,Y^11*q_d^5*q_{d-1}
Delta^6,delta,6,0,12,-117649/17915904,-,Delta^6
Delta^6,residual_mixed_depth,5,1,12,-117649/17915904,-,Y^12*q_d^5*q_{d-1}
