qd_power,qdm1_power,Y_power,coefficient,sign,monomial
1,0,-8,1024/14175,+,Y^-8*q_d
1,0,-7,378368/42525,+,Y^-7*q_d
1,0,-6,3808832/8505,+,Y^-6*q_d
1,0,-5,1515184352/127575,+,Y^-5*q_d
1,0,-4,13534625336/76545,+,Y^-4*q_d
1,0,-3,540671517004/382725,+,Y^-3*q_d
1,0,-2,30199527287693/6889050,+,Y^-2*q_d
1,0,-1,-97317186445949/8266860,-,Y^-1*q_d
1,0,0,-2986228852412471/31492800,-,q_d
1,0,1,40581629294160533/1020366720,+,Y*q_d
1,0,2,106347223920268633357/122444006400,+,Y^2*q_d
1,0,3,-124657120249385116979/244888012800,-,Y^3*q_d
1,0,4,-13859553440872730245/3265173504,-,Y^4*q_d
1,0,5,293268269565909062899/54419558400,+,Y^5*q_d
1,0,6,1029041736069066307733/130606940160,+,Y^6*q_d
1,0,7,-555037885018300871383/29023764480,-,Y^7*q_d
1,0,8,1873358886191513399/483729408,+,Y^8*q_d
1,0,9,14266504521611419427/725594112,+,Y^9*q_d
1,0,10,-1373671468533765864953/77396705280,-,Y^10*q_d
1,0,11,-2720487692773584671/10319560704,-,Y^11*q_d
1,0,12,218555474357446370221/30958682112,+,Y^12*q_d
1,0,13,-58678195236048284435/20639121408,-,Y^13*q_d
1,0,14,-3549320047406848715/27518828544,-,Y^14*q_d
1,0,15,31631609806414124507/165112971264,+,Y^15*q_d
2,0,-8,-1024/14175,-,Y^-8*q_d^2
2,0,-7,-402944/42525,-,Y^-7*q_d^2
2,0,-6,-7335616/14175,-,Y^-6*q_d^2
2,0,-5,-1899924512/127575,-,Y^-5*q_d^2
2,0,-4,-91927954792/382725,-,Y^-4*q_d^2
2,0,-3,-800905259684/382725,-,Y^-3*q_d^2
2,0,-2,-51597511510409/6889050,-,Y^-2*q_d^2
2,0,-1,603799429208707/41334300,+,Y^-1*q_d^2
2,0,0,105602341048014571/661348800,+,q_d^2
2,0,1,-17592950727572281/5101833600,-,Y*q_d^2
2,0,2,-187757056366583383489/122444006400,-,Y^2*q_d^2
2,0,3,35405317299128756047/81629337600,+,Y^3*q_d^2
2,0,4,4015317230732419832393/489776025600,+,Y^4*q_d^2
2,0,5,-8324719007477079526139/979552051200,-,Y^5*q_d^2
2,0,6,-4370546941682238633931/244888012800,-,Y^6*q_d^2
