qd_power,qdm1_power,Y_power,coefficient,sign,monomial
1,0,-4,64/45,+,Y^-4*q_d
1,0,-3,160/3,+,Y^-3*q_d
1,0,-2,86492/135,+,Y^-2*q_d
1,0,-1,2852386/1215,+,Y^-1*q_d
1,0,0,-3683239/972,-,q_d
1,0,1,-686694547/29160,-,Y*q_d
1,0,2,11716169699/419904,+,Y^2*q_d
1,0,3,298517618977/4199040,+,Y^3*q_d
1,0,4,-342098995429/2799360,-,Y^4*q_d
1,0,5,-17343600455/1119744,-,Y^5*q_d
1,0,6,10320692225/82944,+,Y^6*q_d
1,0,7,-9758773409/165888,-,Y^7*q_d
1,0,8,-13110149087/995328,-,Y^8*q_d
1,0,9,63105629461/5971968,+,Y^9*q_d
2,0,-4,-64/45,-,Y^-4*q_d^2
2,0,-3,-2656/45,-,Y^-3*q_d^2
2,0,-2,-107852/135,-,Y^-2*q_d^2
2,0,-1,-838670/243,-,Y^-1*q_d^2
2,0,0,19677247/4860,+,q_d^2
2,0,1,1100774227/29160,+,Y*q_d^2
2,0,2,-73830679579/2099520,-,Y^2*q_d^2
2,0,3,-184413762229/1399680,-,Y^3*q_d^2
2,0,4,165883556729/839808,+,Y^4*q_d^2
2,0,5,248332277867/4199040,+,Y^5*q_d^2
2,0,6,-7999230307177/33592320,-,Y^6*q_d^2
2,0,7,445491077297/4478976,+,Y^7*q_d^2
2,0,8,747092289727/22394880,+,Y^8*q_d^2
2,0,9,-27031723327/1244160,-,Y^9*q_d^2
2,0,10,-602009933/2985984,-,Y^10*q_d^2
3,0,-3,256/45,+,Y^-3*q_d^3
3,0,-2,7856/45,+,Y^-2*q_d^3
3,0,-1,180244/135,+,Y^-1*q_d^3
3,0,0,44188/1215,+,q_d^3
3,0,1,-8762971/486,-,Y*q_d^3
3,0,2,365509079/58320,+,Y^2*q_d^3
3,0,3,174358600639/2099520,+,Y^3*q_d^3
3,0,4,-391127989121/4199040,-,Y^4*q_d^3
3,0,5,-78447107117/1049760,-,Y^5*q_d^3
3,0,6,1804805543909/11197440,+,Y^6*q_d^3
3,0,7,-3239474320019/67184640,-,Y^7*q_d^3
3,0,8,-4758118815527/134369280,-,Y^8*q_d^3
3,0,9,904000858145/53747712,+,Y^9*q_d^3
3,0,10,59814751633/89579520,+,Y^10*q_d^3
4,0,-2,-736/45,-,Y^-2*q_d^4
4,0,-1,-1264/5,-,Y^-1*q_d^4
4,0,0,-3557/9,-,q_d^4
4,0,1,2153855/486,+,Y*q_d^4
4,0,2,1842935/972,+,Y^2*q_d^4
4,0,3,-267115139/9720,-,Y^3*q_d^4
4,0,4,159321407039/8398080,+,Y^4*q_d^4
4,0,5,145045672337/3359232,+,Y^5*q_d^4
4,0,6,-399145022729/6718464,-,Y^6*q_d^4
4,0,7,328149383149/67184640,+,Y^7*q_d^4
4,0,8,3008537360213/134369280,+,Y^8*q_d^4
4,0,9,-651018741289/89579520,-,Y^9*q_d^4
4,0,10,-249507624611/268738560,-,Y^10*q_d^4
4,0,11,-4117715/2985984,-,Y^11*q_d^4
5,0,-1,64/3,+,Y^-1*q_d^5
5,0,0,4952/45,+,q_d^5
5,0,1,-17386/27,-,Y*q_d^5
5,0,2,-270020/243,-,Y^2*q_d^5
5,0,3,11279723/1944,+,Y^3*q_d^5
5,0,4,-29543083/46656,-,Y^4*q_d^5
5,0,5,-63144597169/4199040,-,Y^5*q_d^5
5,0,6,30221824883/2239488,+,Y^6*q_d^5
5,0,7,22196026349/4478976,+,Y^7*q_d^5
5,0,8,-1263323735303/134369280,-,Y^8*q_d^5
5,0,9,151049764103/89579520,+,Y^9*q_d^5
5,0,10,10102766933/13436928,+,Y^10*q_d^5
5,0,11,117649/17496,+,Y^11*q_d^5
6,0,0,-32/3,-,q_d^6
6,0,1,128/3,+,Y*q_d^6
6,0,2,12421/54,+,Y^2*q_d^6
6,0,3,-364601/486,-,Y^3*q_d^6
6,0,4,-10280885/15552,-,Y^4*q_d^6
6,0,5,312861019/93312,+,Y^5*q_d^6
6,0,6,-51031963183/33592320,-,Y^6*q_d^6
6,0,7,-40170482681/13436928,-,Y^7*q_d^6
6,0,8,355738799843/134369280,+,Y^8*q_d^6
6,0,9,7000054789/89579520,+,Y^9*q_d^6
6,0,10,-54663636629/134369280,-,Y^10*q_d^6
6,0,11,-7647185/559872,-,Y^11*q_d^6
6,0,12,-117649/17915904,-,Y^12*q_d^6
7,0,2,-56/3,-,Y^2*q_d^7
7,0,3,133/3,+,Y^3*q_d^7
7,0,4,159691/972,+,Y^4*q_d^7
7,0,5,-286391/648,-,Y^5*q_d^7
7,0,6,-30610279/311040,-,Y^6*q_d^7
7,0,7,28676640727/33592320,+,Y^7*q_d^7
7,0,8,-3622185203/8398080,-,Y^8*q_d^7
7,0,9,-2086419265/8957952,-,Y^9*q_d^7
7,0,10,9783376309/67184640,+,Y^10*q_d^7
7,0,11,134943403/8957952,+,Y^11*q_d^7
7,0,12,117649/2985984,+,Y^12*q_d^7
8,0,4,-245/18,-,Y^4*q_d^8
8,0,5,2107/81,+,Y^5*q_d^8
8,0,6,1709953/31104,+,Y^6*q_d^8
8,0,7,-121441747/933120,-,Y^7*q_d^8
8,0,8,1351291277/134369280,+,Y^8*q_d^8
8,0,9,927460681/9953280,+,Y^9*q_d^8
8,0,10,-4111513217/134369280,-,Y^10*q_d^8
8,0,11,-29529899/2985984,-,Y^11*q_d^8
8,0,12,-588245/5971968,-,Y^12*q_d^8
9,0,6,-1715/324,-,Y^6*q_d^9
9,0,7,43561/5184,+,Y^7*q_d^9
9,0,8,17250499/1866240,+,Y^8*q_d^9
9,0,9,-1205218651/67184640,-,Y^9*q_d^9
9,0,10,84949781/53747712,+,Y^10*q_d^9
9,0,11,17764999/4478976,+,Y^11*q_d^9
9,0,12,588245/4478976,+,Y^12*q_d^9
10,0,8,-12005/10368,-,Y^8*q_d^10
10,0,9,2401/1728,+,Y^9*q_d^10
10,0,10,217273693/268738560,+,Y^10*q_d^10
10,0,11,-4117715/4478976,-,Y^11*q_d^10
10,0,12,-588245/5971968,-,Y^12*q_d^10
11,0,10,-16807/124416,-,Y^10*q_d^11
11,0,11,823543/8957952,+,Y^11*q_d^11
11,0,12,117649/2985984,+,Y^12*q_d^11
12,0,12,-117649/17915904,-,Y^12*q_d^12
1,1,-4,64/45,+,Y^-4*q_d*q_{d-1}
1,1,-3,2464/45,+,Y^-3*q_d*q_{d-1}
1,1,-2,93404/135,+,Y^-2*q_d*q_{d-1}
1,1,-1,3542686/1215,+,Y^-1*q_d*q_{d-1}
1,1,0,-10495267/4860,-,q_d*q_{d-1}
1,1,1,-835481317/29160,-,Y*q_d*q_{d-1}
1,1,2,26461355311/2099520,+,Y^2*q_d*q_{d-1}
1,1,3,16746845837/155520,+,Y^3*q_d*q_{d-1}
1,1,4,-840998385607/8398080,-,Y^4*q_d*q_{d-1}
1,1,5,-212973623167/1866240,-,Y^5*q_d*q_{d-1}
1,1,6,43924546963/248832,+,Y^6*q_d*q_{d-1}
1,1,7,-8833171261/497664,-,Y^7*q_d*q_{d-1}
1,1,8,-57442017479/995328,-,Y^8*q_d*q_{d-1}
1,1,9,145834339/8192,+,Y^9*q_d*q_{d-1}
1,1,10,1647086/729,+,Y^10*q_d*q_{d-1}
2,1,-3,-256/45,-,Y^-3*q_d^2*q_{d-1}
2,1,-2,-7664/45,-,Y^-2*q_d^2*q_{d-1}
2,1,-1,-172636/135,-,Y^-1*q_d^2*q_{d-1}
2,1,0,-105937/1215,-,q_d^2*q_{d-1}
2,1,1,8284459/486,+,Y*q_d^2*q_{d-1}
2,1,2,-297505649/58320,-,Y^2*q_d^2*q_{d-1}
2,1,3,-175146407341/2099520,-,Y^3*q_d^2*q_{d-1}
2,1,4,822410768623/8398080,+,Y^4*q_d^2*q_{d-1}
2,1,5,642488367079/8398080,+,Y^5*q_d^2*q_{d-1}
2,1,6,-6479514445817/33592320,-,Y^6*q_d^2*q_{d-1}
2,1,7,2886543412909/33592320,+,Y^7*q_d^2*q_{d-1}
2,1,8,1462417972603/44789760,+,Y^8*q_d^2*q_{d-1}
2,1,9,-1485353365069/44789760,-,Y^9*q_d^2*q_{d-1}
2,1,10,361774086821/59719680,+,Y^10*q_d^2*q_{d-1}
3,1,-2,1088/45,+,Y^-2*q_d^3*q_{d-1}
3,1,-1,14888/45,+,Y^-1*q_d^3*q_{d-1}
3,1,0,43051/135,+,q_d^3*q_{d-1}
3,1,1,-6905944/1215,-,Y*q_d^3*q_{d-1}
3,1,2,3923573/1944,+,Y^2*q_d^3*q_{d-1}
3,1,3,4122687529/116640,+,Y^3*q_d^3*q_{d-1}
3,1,4,-483631294987/8398080,-,Y^4*q_d^3*q_{d-1}
3,1,5,-190395224233/8398080,-,Y^5*q_d^3*q_{d-1}
3,1,6,33196310939/262440,+,Y^6*q_d^3*q_{d-1}
3,1,7,-6499170829441/67184640,-,Y^7*q_d^3*q_{d-1}
3,1,8,-66872017289/11197440,-,Y^8*q_d^3*q_{d-1}
3,1,9,1895854251263/53747712,+,Y^9*q_d^3*q_{d-1}
3,1,10,-1947421277179/179159040,-,Y^10*q_d^3*q_{d-1}
3,1,11,-24997000679/89579520,-,Y^11*q_d^3*q_{d-1}
4,1,-1,-1664/45,-,Y^-1*q_d^4*q_{d-1}
4,1,0,-7136/45,-,q_d^4*q_{d-1}
4,1,1,31093/27,+,Y*q_d^4*q_{d-1}
4,1,2,121960/243,+,Y^2*q_d^4*q_{d-1}
4,1,3,-10978663/972,-,Y^3*q_d^4*q_{d-1}
4,1,4,485768107/29160,+,Y^4*q_d^4*q_{d-1}
4,1,5,42437047303/2799360,+,Y^5*q_d^4*q_{d-1}
4,1,6,-10762007411/186624,-,Y^6*q_d^4*q_{d-1}
4,1,7,138325823299/3359232,+,Y^7*q_d^4*q_{d-1}
4,1,8,306973658327/26873856,+,Y^8*q_d^4*q_{d-1}
4,1,9,-26932899049/1119744,-,Y^9*q_d^4*q_{d-1}
4,1,10,3451404320581/537477120,+,Y^10*q_d^4*q_{d-1}
4,1,11,192712473821/268738560,+,Y^11*q_d^4*q_{d-1}
5,1,0,64/3,+,q_d^5*q_{d-1}
5,1,1,-492/5,-,Y*q_d^5*q_{d-1}
5,1,2,-7742/27,-,Y^2*q_d^5*q_{d-1}
5,1,3,2168527/972,+,Y^3*q_d^5*q_{d-1}
5,1,4,-35457595/15552,-,Y^4*q_d^5*q_{d-1}
5,1,5,-669327991/93312,-,Y^5*q_d^5*q_{d-1}
5,1,6,578264211253/33592320,+,Y^6*q_d^5*q_{d-1}
5,1,7,-100260797053/13436928,-,Y^7*q_d^5*q_{d-1}
5,1,8,-142166437007/13436928,-,Y^8*q_d^5*q_{d-1}
5,1,9,2901836896889/268738560,+,Y^9*q_d^5*q_{d-1}
5,1,10,-854941112641/537477120,-,Y^10*q_d^5*q_{d-1}
5,1,11,-4725083965/5971968,-,Y^11*q_d^5*q_{d-1}
5,1,12,-54942083/17915904,-,Y^12*q_d^5*q_{d-1}
6,1,2,104/3,+,Y^2*q_d^6*q_{d-1}
6,1,3,-12713/54,-,Y^3*q_d^6*q_{d-1}
6,1,4,20389/243,+,Y^4*q_d^6*q_{d-1}
6,1,5,13961273/7776,+,Y^5*q_d^6*q_{d-1}
6,1,6,-2994823043/933120,-,Y^6*q_d^6*q_{d-1}
6,1,7,-13231495793/33592320,-,Y^7*q_d^6*q_{d-1}
6,1,8,639843272131/134369280,+,Y^8*q_d^6*q_{d-1}
6,1,9,-412987102829/134369280,-,Y^9*q_d^6*q_{d-1}
6,1,10,-160217460557/537477120,-,Y^10*q_d^6*q_{d-1}
6,1,11,70239725563/134369280,+,Y^11*q_d^6*q_{d-1}
6,1,12,217533001/17915904,+,Y^12*q_d^6*q_{d-1}
7,1,3,28/3,+,Y^3*q_d^7*q_{d-1}
7,1,4,91/9,+,Y^4*q_d^7*q_{d-1}
7,1,5,-465857/1944,-,Y^5*q_d^7*q_{d-1}
7,1,6,5121319/15552,+,Y^6*q_d^7*q_{d-1}
7,1,7,962998589/1866240,+,Y^7*q_d^7*q_{d-1}
7,1,8,-55271029471/44789760,-,Y^8*q_d^7*q_{d-1}
7,1,9,3197859707/7464960,+,Y^9*q_d^7*q_{d-1}
7,1,10,223234109987/537477120,+,Y^10*q_d^7*q_{d-1}
7,1,11,-11561187155/53747712,-,Y^11*q_d^7*q_{d-1}
7,1,12,-4823609/248832,-,Y^12*q_d^7*q_{d-1}
7,1,13,-117649/5971968,-,Y^13*q_d^7*q_{d-1}
8,1,5,245/18,+,Y^5*q_d^8*q_{d-1}
8,1,6,-4067/324,-,Y^6*q_d^8*q_{d-1}
8,1,7,-551593/5184,-,Y^7*q_d^8*q_{d-1}
8,1,8,20188343/116640,+,Y^8*q_d^8*q_{d-1}
8,1,9,4546336571/134369280,+,Y^9*q_d^8*q_{d-1}
8,1,10,-44723011627/268738560,-,Y^10*q_d^8*q_{d-1}
8,1,11,2180364907/44789760,+,Y^11*q_d^8*q_{d-1}
8,1,12,16117913/995328,+,Y^12*q_d^8*q_{d-1}
8,1,13,588245/5971968,+,Y^13*q_d^8*q_{d-1}
9,1,7,1715/216,+,Y^7*q_d^9*q_{d-1}
9,1,8,-51107/5184,-,Y^8*q_d^9*q_{d-1}
9,1,9,-81167863/3732480,-,Y^9*q_d^9*q_{d-1}
9,1,10,275343593/8398080,+,Y^10*q_d^9*q_{d-1}
9,1,11,-77333809/53747712,-,Y^11*q_d^9*q_{d-1}
9,1,12,-137766979/17915904,-,Y^12*q_d^9*q_{d-1}
9,1,13,-588245/2985984,-,Y^13*q_d^9*q_{d-1}
10,1,9,12005/5184,+,Y^9*q_d^10*q_{d-1}
10,1,10,-314531/124416,-,Y^10*q_d^10*q_{d-1}
10,1,11,-552486907/268738560,-,Y^11*q_d^10*q_{d-1}
10,1,12,12117847/5971968,+,Y^12*q_d^10*q_{d-1}
10,1,13,588245/2985984,+,Y^13*q_d^10*q_{d-1}
11,1,11,84035/248832,+,Y^11*q_d^11*q_{d-1}
11,1,12,-2000033/8957952,-,Y^12*q_d^11*q_{d-1}
11,1,13,-588245/5971968,-,Y^13*q_d^11*q_{d-1}
12,1,13,117649/5971968,+,Y^13*q_d^12*q_{d-1}
2,2,-2,-352/45,-,Y^-2*q_d^2*q_{d-1}^2
2,2,-1,-1192/15,-,Y^-1*q_d^2*q_{d-1}^2
2,2,0,9608/135,+,q_d^2*q_{d-1}^2
2,2,1,3216961/2430,+,Y*q_d^2*q_{d-1}^2
2,2,2,-717763/216,-,Y^2*q_d^2*q_{d-1}^2
2,2,3,-988174441/116640,-,Y^3*q_d^2*q_{d-1}^2
2,2,4,63491997461/2099520,+,Y^4*q_d^2*q_{d-1}^2
2,2,5,-4885947947/1866240,-,Y^5*q_d^2*q_{d-1}^2
2,2,6,-2216784672419/33592320,-,Y^6*q_d^2*q_{d-1}^2
2,2,7,9306449851/155520,+,Y^7*q_d^2*q_{d-1}^2
2,2,8,205484983453/16796160,+,Y^8*q_d^2*q_{d-1}^2
2,2,9,-977404780121/29859840,-,Y^9*q_d^2*q_{d-1}^2
2,2,10,159778340981/19906560,+,Y^10*q_d^2*q_{d-1}^2
2,2,11,5411854/3645,+,Y^11*q_d^2*q_{d-1}^2
3,2,-1,704/45,+,Y^-1*q_d^3*q_{d-1}^2
3,2,0,728/15,+,q_d^3*q_{d-1}^2
3,2,1,-4577/9,-,Y*q_d^3*q_{d-1}^2
3,2,2,543145/972,+,Y^2*q_d^3*q_{d-1}^2
3,2,3,449540/81,+,Y^3*q_d^3*q_{d-1}^2
3,2,4,-295146353/19440,-,Y^4*q_d^3*q_{d-1}^2
3,2,5,-21344304781/8398080,-,Y^5*q_d^3*q_{d-1}^2
3,2,6,105219992369/2239488,+,Y^6*q_d^3*q_{d-1}^2
3,2,7,-649683138281/13436928,-,Y^7*q_d^3*q_{d-1}^2
3,2,8,-243664397177/134369280,-,Y^8*q_d^3*q_{d-1}^2
3,2,9,6936445227271/268738560,+,Y^9*q_d^3*q_{d-1}^2
3,2,10,-3022729257163/268738560,-,Y^10*q_d^3*q_{d-1}^2
3,2,11,30189086347/44789760,+,Y^11*q_d^3*q_{d-1}^2
4,2,0,-544/45,-,q_d^4*q_{d-1}^2
4,2,1,968/15,+,Y*q_d^4*q_{d-1}^2
4,2,2,563/36,+,Y^2*q_d^4*q_{d-1}^2
4,2,3,-3286813/1944,-,Y^3*q_d^4*q_{d-1}^2
4,2,4,1145759/288,+,Y^4*q_d^4*q_{d-1}^2
4,2,5,73369049/25920,+,Y^5*q_d^4*q_{d-1}^2
4,2,6,-645257724169/33592320,-,Y^6*q_d^4*q_{d-1}^2
4,2,7,92904167035/4478976,+,Y^7*q_d^4*q_{d-1}^2
4,2,8,2262047351/26873856,+,Y^8*q_d^4*q_{d-1}^2
4,2,9,-46668354439/3359232,-,Y^9*q_d^4*q_{d-1}^2
4,2,10,456428742161/53747712,+,Y^10*q_d^4*q_{d-1}^2
4,2,11,-1364804557319/1074954240,-,Y^11*q_d^4*q_{d-1}^2
4,2,12,-72047894653/537477120,-,Y^12*q_d^4*q_{d-1}^2
5,2,2,-232/15,-,Y^2*q_d^5*q_{d-1}^2
5,2,3,7693/27,+,Y^3*q_d^5*q_{d-1}^2
5,2,4,-546335/972,-,Y^4*q_d^5*q_{d-1}^2
5,2,5,-24227/16,-,Y^5*q_d^5*q_{d-1}^2
5,2,6,538766165/93312,+,Y^6*q_d^5*q_{d-1}^2
5,2,7,-5196168217/1049760,-,Y^7*q_d^5*q_{d-1}^2
5,2,8,-12733551451/4478976,-,Y^8*q_d^5*q_{d-1}^2
5,2,9,195411067187/26873856,+,Y^9*q_d^5*q_{d-1}^2
5,2,10,-708249240223/179159040,-,Y^10*q_d^5*q_{d-1}^2
5,2,11,29718178217/119439360,+,Y^11*q_d^5*q_{d-1}^2
5,2,12,1543201933/5971968,+,Y^12*q_d^5*q_{d-1}^2
6,2,3,-56/3,-,Y^3*q_d^6*q_{d-1}^2
6,2,4,2039/72,+,Y^4*q_d^6*q_{d-1}^2
6,2,5,669311/1944,+,Y^5*q_d^6*q_{d-1}^2
6,2,6,-2716721/2592,-,Y^6*q_d^6*q_{d-1}^2
6,2,7,51435169/124416,+,Y^7*q_d^6*q_{d-1}^2
6,2,8,1572723295/839808,+,Y^8*q_d^6*q_{d-1}^2
6,2,9,-15990006725/5971968,-,Y^9*q_d^6*q_{d-1}^2
6,2,10,104986352135/107495424,+,Y^10*q_d^6*q_{d-1}^2
6,2,11,18055562875/53747712,+,Y^11*q_d^6*q_{d-1}^2
6,2,12,-5037588521/22394880,-,Y^12*q_d^6*q_{d-1}^2
6,2,13,-95883935/35831808,-,Y^13*q_d^6*q_{d-1}^2
7,2,5,-119/4,-,Y^5*q_d^7*q_{d-1}^2
7,2,6,376789/3888,+,Y^6*q_d^7*q_{d-1}^2
7,2,7,159733/2592,+,Y^7*q_d^7*q_{d-1}^2
7,2,8,-164326547/311040,-,Y^8*q_d^7*q_{d-1}^2
7,2,9,77994327733/134369280,+,Y^9*q_d^7*q_{d-1}^2
7,2,10,-981747389/179159040,-,Y^10*q_d^7*q_{d-1}^2
7,2,11,-314445444481/1074954240,-,Y^11*q_d^7*q_{d-1}^2
7,2,12,11682317605/107495424,+,Y^12*q_d^7*q_{d-1}^2
7,2,13,32588773/3981312,+,Y^13*q_d^7*q_{d-1}^2
8,2,6,-245/72,-,Y^6*q_d^8*q_{d-1}^2
8,2,7,-49/4,-,Y^7*q_d^8*q_{d-1}^2
8,2,8,1497391/20736,+,Y^8*q_d^8*q_{d-1}^2
8,2,9,-54843593/933120,-,Y^9*q_d^8*q_{d-1}^2
8,2,10,-40341573433/537477120,-,Y^10*q_d^8*q_{d-1}^2
8,2,11,8021560925/71663616,+,Y^11*q_d^8*q_{d-1}^2
8,2,12,-892742221/35831808,-,Y^12*q_d^8*q_{d-1}^2
8,2,13,-28824005/2985984,-,Y^13*q_d^8*q_{d-1}^2
8,2,14,-588245/23887872,-,Y^14*q_d^8*q_{d-1}^2
9,2,8,-1715/432,-,Y^8*q_d^9*q_{d-1}^2
9,2,9,10633/10368,+,Y^9*q_d^9*q_{d-1}^2
9,2,10,24981719/1244160,+,Y^10*q_d^9*q_{d-1}^2
9,2,11,-357533939/16796160,-,Y^11*q_d^9*q_{d-1}^2
9,2,12,-101262175/71663616,-,Y^12*q_d^9*q_{d-1}^2
9,2,13,50706719/8957952,+,Y^13*q_d^9*q_{d-1}^2
9,2,14,588245/5971968,+,Y^14*q_d^9*q_{d-1}^2
10,2,10,-12005/6912,-,Y^10*q_d^10*q_{d-1}^2
10,2,11,60025/41472,+,Y^11*q_d^10*q_{d-1}^2
10,2,12,2345630539/1074954240,+,Y^12*q_d^10*q_{d-1}^2
10,2,13,-20588575/11943936,-,Y^13*q_d^10*q_{d-1}^2
10,2,14,-588245/3981312,-,Y^14*q_d^10*q_{d-1}^2
11,2,12,-84035/248832,-,Y^12*q_d^11*q_{d-1}^2
11,2,13,823543/3981312,+,Y^13*q_d^11*q_{d-1}^2
11,2,14,588245/5971968,+,Y^14*q_d^11*q_{d-1}^2
12,2,14,-588245/23887872,-,Y^14*q_d^12*q_{d-1}^2
