term_id,ell,total_weight,num_atoms,partition,coefficient,monomial
48,6,12,6,1+1+1+1+4+4,1/48,E1*E1*E1*E1*E4*E4
41,6,12,6,1+1+1+2+2+5,1/12,E1*E1*E1*E2*E2*E5
52,6,12,6,1+1+1+2+3+4,1/6,E1*E1*E1*E2*E3*E4
61,6,12,6,1+1+1+3+3+3,1/36,E1*E1*E1*E3*E3*E3
55,6,12,6,1+1+2+2+2+4,1/12,E1*E1*E2*E2*E2*E4
63,6,12,6,1+1+2+2+3+3,1/8,E1*E1*E2*E2*E3*E3
66,6,12,6,1+2+2+2+2+3,1/24,E1*E2*E2*E2*E2*E3
71,6,12,6,2+2+2+2+2+2,1/720,E2*E2*E2*E2*E2*E2
30,6,12,7,1+1+1+1+1+1+6,1/720,E1*E1*E1*E1*E1*E1*E6
42,6,12,7,1+1+1+1+1+2+5,1/120,E1*E1*E1*E1*E1*E2*E5
53,6,12,7,1+1+1+1+1+3+4,1/120,E1*E1*E1*E1*E1*E3*E4
56,6,12,7,1+1+1+1+2+2+4,1/48,E1*E1*E1*E1*E2*E2*E4
64,6,12,7,1+1+1+1+2+3+3,1/48,E1*E1*E1*E1*E2*E3*E3
67,6,12,7,1+1+1+2+2+2+3,1/36,E1*E1*E1*E2*E2*E2*E3
72,6,12,7,1+1+2+2+2+2+2,1/240,E1*E1*E2*E2*E2*E2*E2
43,6,12,8,1+1+1+1+1+1+1+5,1/5040,E1*E1*E1*E1*E1*E1*E1*E5
57,6,12,8,1+1+1+1+1+1+2+4,1/720,E1*E1*E1*E1*E1*E1*E2*E4
65,6,12,8,1+1+1+1+1+1+3+3,1/1440,E1*E1*E1*E1*E1*E1*E3*E3
68,6,12,8,1+1+1+1+1+2+2+3,1/240,E1*E1*E1*E1*E1*E2*E2*E3
73,6,12,8,1+1+1+1+2+2+2+2,1/576,E1*E1*E1*E1*E2*E2*E2*E2
58,6,12,9,1+1+1+1+1+1+1+1+4,1/40320,E1*E1*E1*E1*E1*E1*E1*E1*E4
69,6,12,9,1+1+1+1+1+1+1+2+3,1/5040,E1*E1*E1*E1*E1*E1*E1*E2*E3
74,6,12,9,1+1+1+1+1+1+2+2+2,1/4320,E1*E1*E1*E1*E1*E1*E2*E2*E2
70,6,12,10,1+1+1+1+1+1+1+1+1+3,1/362880,E1*E1*E1*E1*E1*E1*E1*E1*E1*E3
75,6,12,10,1+1+1+1+1+1+1+1+2+2,1/80640,E1*E1*E1*E1*E1*E1*E1*E1*E2*E2
76,6,12,11,1+1+1+1+1+1+1+1+1+1+2,1/3628800,E1*E1*E1*E1*E1*E1*E1*E1*E1*E1*E2
77,6,12,12,1+1+1+1+1+1+1+1+1+1+1+1,1/479001600,E1*E1*E1*E1*E1*E1*E1*E1*E1*E1*E1*E1
