term_id,ell,total_weight,num_atoms,partition,coefficient,monomial
1,6,12,1,12,1,E12
2,6,12,2,1+11,1,E1*E11
3,6,12,2,2+10,1,E2*E10
5,6,12,2,3+9,1,E3*E9
8,6,12,2,4+8,1,E4*E8
13,6,12,2,5+7,1,E5*E7
20,6,12,2,6+6,1/2,E6*E6
4,6,12,3,1+1+10,1/2,E1*E1*E10
6,6,12,3,1+2+9,1,E1*E2*E9
9,6,12,3,1+3+8,1,E1*E3*E8
14,6,12,3,1+4+7,1,E1*E4*E7
21,6,12,3,1+5+6,1,E1*E5*E6
10,6,12,3,2+2+8,1/2,E2*E2*E8
15,6,12,3,2+3+7,1,E2*E3*E7
22,6,12,3,2+4+6,1,E2*E4*E6
31,6,12,3,2+5+5,1/2,E2*E5*E5
24,6,12,3,3+3+6,1/2,E3*E3*E6
33,6,12,3,3+4+5,1,E3*E4*E5
44,6,12,3,4+4+4,1/6,E4*E4*E4
7,6,12,4,1+1+1+9,1/6,E1*E1*E1*E9
11,6,12,4,1+1+2+8,1/2,E1*E1*E2*E8
16,6,12,4,1+1+3+7,1/2,E1*E1*E3*E7
23,6,12,4,1+1+4+6,1/2,E1*E1*E4*E6
32,6,12,4,1+1+5+5,1/4,E1*E1*E5*E5
17,6,12,4,1+2+2+7,1/2,E1*E2*E2*E7
25,6,12,4,1+2+3+6,1,E1*E2*E3*E6
34,6,12,4,1+2+4+5,1,E1*E2*E4*E5
36,6,12,4,1+3+3+5,1/2,E1*E3*E3*E5
45,6,12,4,1+3+4+4,1/2,E1*E3*E4*E4
27,6,12,4,2+2+2+6,1/6,E2*E2*E2*E6
37,6,12,4,2+2+3+5,1/2,E2*E2*E3*E5
46,6,12,4,2+2+4+4,1/4,E2*E2*E4*E4
49,6,12,4,2+3+3+4,1/2,E2*E3*E3*E4
59,6,12,4,3+3+3+3,1/24,E3*E3*E3*E3
12,6,12,5,1+1+1+1+8,1/24,E1*E1*E1*E1*E8
18,6,12,5,1+1+1+2+7,1/6,E1*E1*E1*E2*E7
26,6,12,5,1+1+1+3+6,1/6,E1*E1*E1*E3*E6
35,6,12,5,1+1+1+4+5,1/6,E1*E1*E1*E4*E5
28,6,12,5,1+1+2+2+6,1/4,E1*E1*E2*E2*E6
38,6,12,5,1+1+2+3+5,1/2,E1*E1*E2*E3*E5
47,6,12,5,1+1+2+4+4,1/4,E1*E1*E2*E4*E4
50,6,12,5,1+1+3+3+4,1/4,E1*E1*E3*E3*E4
40,6,12,5,1+2+2+2+5,1/6,E1*E2*E2*E2*E5
51,6,12,5,1+2+2+3+4,1/2,E1*E2*E2*E3*E4
60,6,12,5,1+2+3+3+3,1/6,E1*E2*E3*E3*E3
54,6,12,5,2+2+2+2+4,1/24,E2*E2*E2*E2*E4
62,6,12,5,2+2+2+3+3,1/12,E2*E2*E2*E3*E3
19,6,12,6,1+1+1+1+1+7,1/120,E1*E1*E1*E1*E1*E7
29,6,12,6,1+1+1+1+2+6,1/24,E1*E1*E1*E1*E2*E6
39,6,12,6,1+1+1+1+3+5,1/24,E1*E1*E1*E1*E3*E5
