term_id,ell,total_weight,num_atoms,partition,coefficient,monomial
1,2,4,1,4,1,E4
2,2,4,2,1+3,1,E1*E3
3,2,4,2,2+2,1/2,E2*E2
4,2,4,3,1+1+2,1/2,E1*E1*E2
5,2,4,4,1+1+1+1,1/24,E1*E1*E1*E1
