j,n,d,k,value,positive
5,0,6,1,175/2,True
5,0,6,2,29385/8,True
5,0,6,3,6282695/64,True
5,0,6,4,1911721725/1024,True
5,0,6,5,82104895249/3072,True
5,0,6,6,19009147275/64,True
5,0,6,7,333273056735/128,True
5,0,6,8,217324131785/12,True
5,1,7,0,1,True
5,1,7,1,465/4,True
5,1,7,2,416227/64,True
5,1,7,3,89159191/384,True
5,1,7,4,36289437043/6144,True
5,1,7,5,347473554941/3072,True
5,1,7,6,5158056040505/3072,True
5,1,7,7,3764186422589/192,True
5,1,7,8,26050415699051/144,True
5,2,8,0,1,True
5,2,8,1,145,True
5,2,8,2,161959/16,True
5,2,8,3,43285859/96,True
5,2,8,4,10982393299/768,True
5,2,8,5,4712599594895/13824,True
5,2,8,6,2715578317691/432,True
5,2,8,7,26188530362657/288,True
5,2,8,8,83951280630427/81,True
5,3,9,0,1,True
5,3,9,1,695/4,True
5,3,9,2,929907/64,True
5,3,9,3,49584623/64,True
5,3,9,4,30086349825/1024,True
5,3,9,5,5138083354193/6144,True
5,3,9,6,4704740358279/256,True
5,3,9,7,10117940420149/32,True
5,3,9,8,51324366446699/12,True
5,4,10,0,1,True
5,4,10,1,405/2,True
5,4,10,2,157805/8,True
5,4,10,3,235055465/192,True
5,4,10,4,165831730115/3072,True
5,4,10,5,2740491561491/1536,True
5,4,10,6,2909575749235/64,True
5,4,10,7,1043108805484955/1152,True
5,4,10,8,509642655782545/36,True
5,5,11,0,1,True
5,5,11,1,925/4,True
5,5,11,2,1645435/64,True
5,5,11,3,698811845/384,True
5,5,11,4,561750920705/6144,True
5,5,11,5,190190394973847/55296,True
5,5,11,6,2754611509864745/27648,True
5,5,11,7,3893279941880875/1728,True
5,5,11,8,51769298913462395/1296,True
5,6,12,0,1,True
5,6,12,1,260,True
5,6,12,2,519723/16,True
5,6,12,3,82622443/32,True
5,6,12,4,2328892437/16,True
5,6,12,5,785706505829/128,True
5,6,12,6,3186118387085/16,True
5,6,12,7,20152535278113/4,True
5,6,12,8,99836199149674,True
5,7,13,0,1,True
5,7,13,1,1155/4,True
5,7,13,2,2562811/64,True
5,7,13,3,42373193/12,True
5,7,13,4,338966881483/1536,True
5,7,13,5,31669770902615/3072,True
5,7,13,6,1480657516957/4,True
5,7,13,7,248572440659761/24,True
5,7,13,8,1360755127892327/6,True
5,8,14,0,1,True
5,8,14,1,635/2,True
5,8,14,2,387149/8,True
5,8,14,3,900044629/192,True
5,8,14,4,988050338215/3072,True
5,8,14,5,455752829364571/27648,True
5,8,14,6,1121317583584727/1728,True
5,8,14,7,68746824462281797/3456,True
5,8,14,8,17168151576796847/36,True
6,0,7,0,1,True
6,0,7,1,1141/8,True
6,0,7,2,633605/64,True
6,0,7,3,227868445/512,True
6,0,7,4,3721423125/256,True
6,0,7,5,4505734488703/12288,True
6,0,7,6,1456537375925471/196608,True
6,0,7,7,64329275231133465/524288,True
6,0,7,8,6925906864185645/4096,True
6,1,8,0,1,True
6,1,8,1,731/4,True
6,1,8,2,195475/12,True
6,1,8,3,542626643/576,True
6,1,8,4,5073743545/128,True
6,1,8,5,35640579684967/27648,True
6,1,8,6,3714327330953687/110592,True
6,1,8,7,237876575326795873/331776,True
6,1,8,8,1582616247506710321/124416,True
6,2,9,0,1,True
6,2,9,1,1783/8,True
6,2,9,2,1551305/64,True
6,2,9,3,2627542217/1536,True
6,2,9,4,134893596733/1536,True
6,2,9,5,14265972173125/4096,True
6,2,9,6,1811483333045085/16384,True
6,2,9,7,376476070106241031/131072,True
6,2,9,8,63403261913756059/1024,True
6,3,10,0,1,True
6,3,10,1,263,True
6,3,10,2,134995/4,True
6,3,10,3,179797935/64,True
6,3,10,4,174107189805/1024,True
6,3,10,5,48803056712369/6144,True
6,3,10,6,303864233141867/1024,True
6,3,10,7,111345856315762285/12288,True
6,3,10,8,2817611223895813595/12288,True
6,4,11,0,1,True
6,4,11,1,2425/8,True
6,4,11,2,8605135/192,True
6,4,11,3,19799281945/4608,True
6,4,11,4,459735708485/1536,True
6,4,11,5,889257329248457/55296,True
6,4,11,6,1221543322862840255/1769472,True
6,4,11,7,1027641712723790659805/42467328,True
6,4,11,8,1397731423250781220885/1990656,True
6,5,12,0,1,True
