family,role,qd_power,qdm1_power,Y_power,coefficient,sign,monomial
Delta^4,delta,4,0,0,-4,-,Delta^4
Delta^4,residual_mixed_depth,3,1,0,-4,-,q_d^3*q_{d-1}
Delta^4,delta,4,0,1,68/9,+,Delta^4
Delta^4,residual_mixed_depth,3,1,1,68/9,+,Y*q_d^3*q_{d-1}
Delta^4,delta,4,0,2,523/12,+,Delta^4
Delta^4,residual_mixed_depth,3,1,2,523/12,+,Y^2*q_d^3*q_{d-1}
Delta^4,delta,4,0,3,-2215/27,-,Delta^4
Delta^4,residual_mixed_depth,3,1,3,-2215/27,-,Y^3*q_d^3*q_{d-1}
Delta^4,delta,4,0,4,-34625/972,-,Delta^4
Delta^4,residual_mixed_depth,3,1,4,-34625/972,-,Y^4*q_d^3*q_{d-1}
Delta^4,delta,4,0,5,1828715/15552,+,Delta^4
Delta^4,residual_mixed_depth,3,1,5,1828715/15552,+,Y^5*q_d^3*q_{d-1}
Delta^4,delta,4,0,6,-4307051/124416,-,Delta^4
Delta^4,residual_mixed_depth,3,1,6,-4307051/124416,-,Y^6*q_d^3*q_{d-1}
Delta^4,delta,4,0,7,-794731/62208,-,Delta^4
Delta^4,residual_mixed_depth,3,1,7,-794731/62208,-,Y^7*q_d^3*q_{d-1}
Delta^4,delta,4,0,8,-2401/82944,-,Delta^4
Delta^4,residual_mixed_depth,3,1,8,-2401/82944,-,Y^8*q_d^3*q_{d-1}
Delta^5,delta,5,0,2,-14/3,-,Delta^5
Delta^5,residual_mixed_depth,4,1,2,-14/3,-,Y^2*q_d^4*q_{d-1}
Delta^5,delta,5,0,3,56/9,+,Delta^5
Delta^5,residual_mixed_depth,4,1,3,56/9,+,Y^3*q_d^4*q_{d-1}
Delta^5,delta,5,0,4,21623/1296,+,Delta^5
Delta^5,residual_mixed_depth,4,1,4,21623/1296,+,Y^4*q_d^4*q_{d-1}
Delta^5,delta,5,0,5,-401513/15552,-,Delta^5
Delta^5,residual_mixed_depth,4,1,5,-401513/15552,-,Y^5*q_d^4*q_{d-1}
Delta^5,delta,5,0,6,2989/4608,+,Delta^5
Delta^5,residual_mixed_depth,4,1,6,2989/4608,+,Y^6*q_d^4*q_{d-1}
Delta^5,delta,5,0,7,146461/20736,+,Delta^5
Delta^5,residual_mixed_depth,4,1,7,146461/20736,+,Y^7*q_d^4*q_{d-1}
Delta^5,delta,5,0,8,2401/20736,+,Delta^5
Delta^5,residual_mixed_depth,4,1,8,2401/20736,+,Y^8*q_d^4*q_{d-1}
Delta^6,delta,6,0,4,-49/24,-,Delta^6
Delta^6,residual_mixed_depth,5,1,4,-49/24,-,Y^4*q_d^5*q_{d-1}
Delta^6,delta,6,0,5,2891/1296,+,Delta^6
Delta^6,residual_mixed_depth,5,1,5,2891/1296,+,Y^5*q_d^5*q_{d-1}
Delta^6,delta,6,0,6,274939/124416,+,Delta^6
Delta^6,residual_mixed_depth,5,1,6,274939/124416,+,Y^6*q_d^5*q_{d-1}
Delta^6,delta,6,0,7,-16807/7776,-,Delta^6
Delta^6,residual_mixed_depth,5,1,7,-16807/7776,-,Y^7*q_d^5*q_{d-1}
Delta^6,delta,6,0,8,-2401/13824,-,Delta^6
Delta^6,residual_mixed_depth,5,1,8,-2401/13824,-,Y^8*q_d^5*q_{d-1}
