qd_power,qdm1_power,Y_power,coefficient,sign,monomial
1,0,-2,8/3,+,Y^-2*q_d
1,0,-1,304/9,+,Y^-1*q_d
1,0,0,57,+,q_d
1,0,1,-20291/81,-,Y*q_d
1,0,2,-779447/7776,-,Y^2*q_d
1,0,3,1202711/1944,+,Y^3*q_d
1,0,4,-394183/1296,-,Y^4*q_d
1,0,5,-316295/1728,-,Y^5*q_d
1,0,6,5246185/41472,+,Y^6*q_d
2,0,-2,-8/3,-,Y^-2*q_d^2
2,0,-1,-352/9,-,Y^-1*q_d^2
2,0,0,-769/9,-,q_d^2
2,0,1,26816/81,+,Y*q_d^2
2,0,2,1713383/7776,+,Y^2*q_d^2
2,0,3,-316031/324,-,Y^3*q_d^2
2,0,4,3185645/7776,+,Y^4*q_d^2
2,0,5,2885939/7776,+,Y^5*q_d^2
2,0,6,-28044611/124416,-,Y^6*q_d^2
2,0,7,-84035/20736,-,Y^7*q_d^2
3,0,-1,16/3,+,Y^-1*q_d^3
3,0,0,292/9,+,q_d^3
3,0,1,-793/9,-,Y*q_d^3
3,0,2,-51523/324,-,Y^2*q_d^3
3,0,3,840859/1944,+,Y^3*q_d^3
3,0,4,-657409/7776,-,Y^4*q_d^3
3,0,5,-4387117/15552,-,Y^5*q_d^3
3,0,6,1811873/13824,+,Y^6*q_d^3
3,0,7,362551/31104,+,Y^7*q_d^3
4,0,0,-4,-,q_d^4
4,0,1,68/9,+,Y*q_d^4
4,0,2,523/12,+,Y^2*q_d^4
4,0,3,-2215/27,-,Y^3*q_d^4
4,0,4,-34625/972,-,Y^4*q_d^4
4,0,5,1828715/15552,+,Y^5*q_d^4
4,0,6,-4307051/124416,-,Y^6*q_d^4
4,0,7,-794731/62208,-,Y^7*q_d^4
4,0,8,-2401/82944,-,Y^8*q_d^4
5,0,2,-14/3,-,Y^2*q_d^5
5,0,3,56/9,+,Y^3*q_d^5
5,0,4,21623/1296,+,Y^4*q_d^5
5,0,5,-401513/15552,-,Y^5*q_d^5
5,0,6,2989/4608,+,Y^6*q_d^5
5,0,7,146461/20736,+,Y^7*q_d^5
5,0,8,2401/20736,+,Y^8*q_d^5
6,0,4,-49/24,-,Y^4*q_d^6
6,0,5,2891/1296,+,Y^5*q_d^6
6,0,6,274939/124416,+,Y^6*q_d^6
6,0,7,-16807/7776,-,Y^7*q_d^6
6,0,8,-2401/13824,-,Y^8*q_d^6
7,0,6,-343/864,-,Y^6*q_d^7
7,0,7,16807/62208,+,Y^7*q_d^7
7,0,8,2401/20736,+,Y^8*q_d^7
8,0,8,-2401/82944,-,Y^8*q_d^8
1,1,-2,8/3,+,Y^-2*q_d*q_{d-1}
1,1,-1,328/9,+,Y^-1*q_d*q_{d-1}
1,1,0,781/9,+,q_d*q_{d-1}
1,1,1,-18644/81,-,Y*q_d*q_{d-1}
1,1,2,-2549831/7776,-,Y^2*q_d*q_{d-1}
1,1,3,640181/864,+,Y^3*q_d*q_{d-1}
1,1,4,-6239/15552,-,Y^4*q_d*q_{d-1}
1,1,5,-5253203/10368,-,Y^5*q_d*q_{d-1}
1,1,6,2244445/13824,+,Y^6*q_d*q_{d-1}
1,1,7,12005/324,+,Y^7*q_d*q_{d-1}
2,1,-1,-16/3,-,Y^-1*q_d^2*q_{d-1}
2,1,0,-292/9,-,q_d^2*q_{d-1}
2,1,1,787/9,+,Y*q_d^2*q_{d-1}
2,1,2,29087/162,+,Y^2*q_d^2*q_{d-1}
2,1,3,-1012831/1944,-,Y^3*q_d^2*q_{d-1}
2,1,4,2888837/15552,+,Y^4*q_d^2*q_{d-1}
2,1,5,10341077/31104,+,Y^5*q_d^2*q_{d-1}
2,1,6,-1066583/3888,-,Y^6*q_d^2*q_{d-1}
2,1,7,3027661/62208,+,Y^7*q_d^2*q_{d-1}
3,1,0,16/3,+,q_d^3*q_{d-1}
3,1,1,-118/9,-,Y*q_d^3*q_{d-1}
3,1,2,-1573/36,-,Y^2*q_d^3*q_{d-1}
3,1,3,29929/162,+,Y^3*q_d^3*q_{d-1}
3,1,4,-2207753/15552,-,Y^4*q_d^3*q_{d-1}
