qd_power,qdm1_power,terms,positive_terms,negative_terms,Y_min,Y_max,common_denominator,transport_half_power_depth,natural_transport_candidate,conservative_cube_candidate
1,0,24,15,9,-8,15,7021429103001600,0,1,1
2,0,25,9,16,-8,16,1755357275750400,0,1,1
3,0,24,14,10,-7,16,7021429103001600,0,1,1
4,0,24,9,15,-6,17,7021429103001600,0,1,1
5,0,23,13,10,-5,17,7021429103001600,0,1,1
6,0,23,9,14,-4,18,7021429103001600,0,1,1
7,0,22,14,8,-3,18,7021429103001600,0,1,1
8,0,22,8,14,-2,19,1003061300428800,0,1,1
9,0,21,12,9,-1,19,1003061300428800,0,1,1
10,0,21,8,13,0,20,1003061300428800,0,1,1
11,0,19,11,8,2,20,1003061300428800,0,1,1
12,0,17,7,10,4,20,1003061300428800,0,1,1
13,0,15,9,6,6,20,1003061300428800,0,1,1
14,0,13,5,8,8,20,1003061300428800,0,1,1
15,0,11,7,4,10,20,125382662553600,0,1,1
16,0,9,4,5,12,20,250765325107200,0,1,1
17,0,7,5,2,14,20,16717688340480,0,1,1
18,0,5,2,3,16,20,5572562780160,0,1,1
19,0,3,2,1,18,20,185752092672,0,1,1
20,0,1,0,1,20,20,619173642240,0,1,1
1,1,25,15,10,-8,16,7021429103001600,1,1/2,1/8
2,1,24,11,13,-7,16,14042858206003200,1,1/2,1/8
3,1,24,15,9,-6,17,14042858206003200,1,1/2,1/8
4,1,23,8,15,-5,17,7021429103001600,1,1/2,1/8
5,1,23,11,12,-4,18,7021429103001600,1,1/2,1/8
6,1,22,12,10,-3,18,14042858206003200,1,1/2,1/8
7,1,22,8,14,-2,19,14042858206003200,1,1/2,1/8
8,1,21,10,11,-1,19,1003061300428800,1,1/2,1/8
9,1,21,10,11,0,20,1003061300428800,1,1/2,1/8
10,1,19,11,8,2,20,2006122600857600,1,1/2,1/8
11,1,19,8,11,3,21,2006122600857600,1,1/2,1/8
12,1,17,10,7,5,21,1003061300428800,1,1/2,1/8
13,1,15,7,8,7,21,501530650214400,1,1/2,1/8
14,1,13,8,5,9,21,1003061300428800,1,1/2,1/8
15,1,11,4,7,11,21,501530650214400,1,1/2,1/8
16,1,9,5,4,13,21,250765325107200,1,1/2,1/8
