qd_power,qdm1_power,terms,positive_terms,negative_terms,Y_min,Y_max,common_denominator,transport_half_power_depth,natural_transport_candidate,conservative_cube_candidate
17,1,7,2,5,15,21,16717688340480,1,1/2,1/8
18,1,5,3,2,17,21,1857520926720,1,1/2,1/8
19,1,3,1,2,19,21,371504185344,1,1/2,1/8
20,1,1,1,0,21,21,123834728448,1,1/2,1/8
2,2,24,9,15,-6,17,14042858206003200,2,1/4,1/64
3,2,23,15,8,-5,17,28085716412006400,2,1/4,1/64
4,2,23,8,15,-4,18,28085716412006400,2,1/4,1/64
5,2,22,15,7,-3,18,28085716412006400,2,1/4,1/64
6,2,22,7,15,-2,19,28085716412006400,2,1/4,1/64
7,2,21,11,10,-1,19,28085716412006400,2,1/4,1/64
8,2,21,11,10,0,20,4012245201715200,2,1/4,1/64
9,2,19,8,11,2,20,4012245201715200,2,1/4,1/64
10,2,19,6,13,3,21,4012245201715200,2,1/4,1/64
11,2,17,11,6,5,21,4012245201715200,2,1/4,1/64
12,2,17,7,10,6,22,4012245201715200,2,1/4,1/64
13,2,15,8,7,8,22,4012245201715200,2,1/4,1/64
14,2,13,5,8,10,22,4012245201715200,2,1/4,1/64
15,2,11,6,5,12,22,1003061300428800,2,1/4,1/64
16,2,9,4,5,14,22,1003061300428800,2,1/4,1/64
17,2,7,5,2,16,22,22290251120640,2,1/4,1/64
18,2,5,2,3,18,22,825564856320,2,1/4,1/64
19,2,3,2,1,20,22,743008370688,2,1/4,1/64
20,2,1,0,1,22,22,55037657088,2,1/4,1/64
3,3,23,14,9,-4,18,28085716412006400,3,1/8,1/512
4,3,22,9,13,-3,18,7021429103001600,3,1/8,1/512
5,3,22,11,11,-2,19,28085716412006400,3,1/8,1/512
6,3,21,9,12,-1,19,28085716412006400,3,1/8,1/512
7,3,21,12,9,0,20,5617143282401280,3,1/8,1/512
8,3,19,11,8,2,20,2006122600857600,3,1/8,1/512
9,3,19,6,13,3,21,4012245201715200,3,1/8,1/512
10,3,17,10,7,5,21,1003061300428800,3,1/8,1/512
11,3,17,10,7,6,22,1337415067238400,3,1/8,1/512
12,3,15,7,8,8,22,802449040343040,3,1/8,1/512
13,3,15,5,10,9,23,2006122600857600,3,1/8,1/512
14,3,13,9,4,11,23,1003061300428800,3,1/8,1/512
15,3,11,6,5,13,23,1003061300428800,3,1/8,1/512
16,3,9,6,3,15,23,1003061300428800,3,1/8,1/512
17,3,7,2,5,17,23,33435376680960,3,1/8,1/512
18,3,5,3,2,19,23,1114512556032,3,1/8,1/512
19,3,3,1,2,21,23,247669456896,3,1/8,1/512
20,3,1,1,0,23,23,41278242816,3,1/8,1/512
4,4,22,13,9,-2,19,14042858206003200,4,1/16,1/4096
5,4,21,10,11,-1,19,112342865648025600,4,1/16,1/4096
6,4,21,9,12,0,20,56171432824012800,4,1/16,1/4096
7,4,19,12,7,2,20,22468573129605120,4,1/16,1/4096
8,4,19,9,10,3,21,3209796161372160,4,1/16,1/4096
9,4,17,8,9,5,21,16048980806860800,4,1/16,1/4096
10,4,17,10,7,6,22,16048980806860800,4,1/16,1/4096
11,4,15,8,7,8,22,2674830134476800,4,1/16,1/4096
12,4,15,4,11,9,23,534966026895360,4,1/16,1/4096
13,4,13,9,4,11,23,1604898080686080,4,1/16,1/4096
14,4,13,6,7,12,24,8024490403430400,4,1/16,1/4096
15,4,11,5,6,14,24,2006122600857600,4,1/16,1/4096
16,4,9,2,7,16,24,2006122600857600,4,1/16,1/4096
17,4,7,4,3,18,24,26748301344768,4,1/16,1/4096
18,4,5,2,3,20,24,990677827584,4,1/16,1/4096
19,4,3,2,1,22,24,495338913792,4,1/16,1/4096
20,4,1,0,1,24,24,330225942528,4,1/16,1/4096
5,5,21,9,12,0,20,112342865648025600,5,1/32,1/32768
6,5,19,7,12,2,20,224685731296051200,5,1/32,1/32768
7,5,19,11,8,3,21,224685731296051200,5,1/32,1/32768
8,5,17,10,7,5,21,16048980806860800,5,1/32,1/32768
9,5,17,8,9,6,22,16048980806860800,5,1/32,1/32768
10,5,15,9,6,8,22,16048980806860800,5,1/32,1/32768
11,5,15,7,8,9,23,5349660268953600,5,1/32,1/32768
12,5,13,7,6,11,23,2674830134476800,5,1/32,1/32768
13,5,13,8,5,12,24,2674830134476800,5,1/32,1/32768
14,5,11,5,6,14,24,8024490403430400,5,1/32,1/32768
15,5,11,4,7,15,25,4012245201715200,5,1/32,1/32768
16,5,9,7,2,17,25,2006122600857600,5,1/32,1/32768
17,5,7,4,3,19,25,14860167413760,5,1/32,1/32768
18,5,5,3,2,21,25,1651129712640,5,1/32,1/32768
19,5,3,1,2,23,25,990677827584,5,1/32,1/32768
20,5,1,1,0,25,25,550376570880,5,1/32,1/32768
6,6,19,9,10,3,21,224685731296051200,6,1/64,1/262144
7,6,17,9,8,5,21,64195923227443200,6,1/64,1/262144
8,6,17,9,8,6,22,64195923227443200,6,1/64,1/262144
9,6,15,6,9,8,22,64195923227443200,6,1/64,1/262144
10,6,15,7,8,9,23,64195923227443200,6,1/64,1/262144
11,6,13,6,7,11,23,10699320537907200,6,1/64,1/262144
12,6,13,6,7,12,24,10699320537907200,6,1/64,1/262144
13,6,11,6,5,14,24,10699320537907200,6,1/64,1/262144
14,6,11,3,8,15,25,10699320537907200,6,1/64,1/262144
15,6,9,6,3,17,25,8024490403430400,6,1/64,1/262144
16,6,9,4,5,18,26,2674830134476800,6,1/64,1/262144
17,6,7,3,4,20,26,178322008965120,6,1/64,1/262144
18,6,5,1,4,22,26,59440669655040,6,1/64,1/262144
19,6,3,2,1,24,26,1981355655168,6,1/64,1/262144
20,6,1,0,1,26,26,1320903770112,6,1/64,1/262144
7,7,17,10,7,6,22,64195923227443200,7,1/128,1/2097152
8,7,15,8,7,8,22,32097961613721600,7,1/128,1/2097152
9,7,15,8,7,9,23,64195923227443200,7,1/128,1/2097152
10,7,13,6,7,11,23,32097961613721600,7,1/128,1/2097152
11,7,13,7,6,12,24,10699320537907200,7,1/128,1/2097152
12,7,11,6,5,14,24,10699320537907200,7,1/128,1/2097152
13,7,11,5,6,15,25,10699320537907200,7,1/128,1/2097152
14,7,9,3,6,17,25,5349660268953600,7,1/128,1/2097152
15,7,9,6,3,18,26,5349660268953600,7,1/128,1/2097152
16,7,7,3,4,20,26,2674830134476800,7,1/128,1/2097152
17,7,7,3,4,21,27,89161004482560,7,1/128,1/2097152
18,7,5,4,1,23,27,9906778275840,7,1/128,1/2097152
19,7,3,2,1,25,27,1981355655168,7,1/128,1/2097152
20,7,1,1,0,27,27,660451885056,7,1/128,1/2097152
8,8,15,6,9,9,23,32097961613721600,8,1/256,1/16777216
9,8,13,7,6,11,23,256783692909772800,8,1/256,1/16777216
10,8,13,6,7,12,24,128391846454886400,8,1/256,1/16777216
11,8,11,6,5,14,24,85594564303257600,8,1/256,1/16777216
12,8,11,6,5,15,25,17118912860651520,8,1/256,1/16777216
13,8,9,3,6,17,25,85594564303257600,8,1/256,1/16777216
14,8,9,5,4,18,26,85594564303257600,8,1/256,1/16777216
15,8,7,3,4,20,26,10699320537907200,8,1/256,1/16777216
16,8,7,2,5,21,27,21398641075814400,8,1/256,1/16777216
17,8,5,3,2,23,27,475525357240320,8,1/256,1/16777216
18,8,5,2,3,24,28,10567230160896,8,1/256,1/16777216
19,8,3,1,2,26,28,15850845241344,8,1/256,1/16777216
20,8,1,0,1,28,28,3522410053632,8,1/256,1/16777216
9,9,13,7,6,12,24,256783692909772800,9,1/512,1/134217728
10,9,11,6,5,14,24,513567385819545600,9,1/512,1/134217728
11,9,11,5,6,15,25,513567385819545600,9,1/512,1/134217728
12,9,9,5,4,17,25,51356738581954560,9,1/512,1/134217728
13,9,9,3,6,18,26,12839184645488640,9,1/512,1/134217728
14,9,7,5,2,20,26,256783692909772800,9,1/512,1/134217728
15,9,7,4,3,21,27,128391846454886400,9,1/512,1/134217728
16,9,5,2,3,23,27,64195923227443200,9,1/512,1/134217728
17,9,5,4,1,24,28,855945643032576,9,1/512,1/134217728
18,9,3,1,2,26,28,285315214344192,9,1/512,1/134217728
19,9,3,2,1,27,29,95105071448064,9,1/512,1/134217728
20,9,1,1,0,29,29,31701690482688,9,1/512,1/134217728
10,10,11,6,5,15,25,513567385819545600,10,1/1024,1/1073741824
11,10,9,4,5,17,25,1027134771639091200,10,1/1024,1/1073741824
12,10,9,4,5,18,26,1027134771639091200,10,1/1024,1/1073741824
13,10,7,3,4,20,26,1027134771639091200,10,1/1024,1/1073741824
14,10,7,4,3,21,27,1027134771639091200,10,1/1024,1/1073741824
15,10,5,2,3,23,27,256783692909772800,10,1/1024,1/1073741824
16,10,5,2,3,24,28,256783692909772800,10,1/1024,1/1073741824
17,10,3,2,1,26,28,17118912860651520,10,1/1024,1/1073741824
18,10,3,1,2,27,29,1902101428961280,10,1/1024,1/1073741824
19,10,1,0,1,29,29,190210142896128,10,1/1024,1/1073741824
20,10,1,0,1,30,30,634033809653760,10,1/1024,1/1073741824
11,11,9,5,4,18,26,1027134771639091200,11,1/2048,1/8589934592
12,11,7,3,4,20,26,1027134771639091200,11,1/2048,1/8589934592
13,11,7,4,3,21,27,128391846454886400,11,1/2048,1/8589934592
14,11,5,2,3,23,27,128391846454886400,11,1/2048,1/8589934592
15,11,5,2,3,24,28,256783692909772800,11,1/2048,1/8589934592
16,11,3,2,1,26,28,256783692909772800,11,1/2048,1/8589934592
17,11,3,2,1,27,29,2853152143441920,11,1/2048,1/8589934592
18,11,1,1,0,29,29,8806025134080,11,1/2048,1/8589934592
19,11,1,1,0,30,30,190210142896128,11,1/2048,1/8589934592
12,12,7,2,5,21,27,1027134771639091200,12,1/4096,1/68719476736
13,12,5,3,2,23,27,128391846454886400,12,1/4096,1/68719476736
14,12,5,3,2,24,28,256783692909772800,12,1/4096,1/68719476736
15,12,3,1,2,26,28,64195923227443200,12,1/4096,1/68719476736
16,12,3,2,1,27,29,256783692909772800,12,1/4096,1/68719476736
17,12,1,0,1,29,29,8559456430325760,12,1/4096,1/68719476736
18,12,1,0,1,30,30,5706304286883840,12,1/4096,1/68719476736
13,13,5,2,3,24,28,64195923227443200,13,1/8192,1/549755813888
14,13,3,1,2,26,28,16048980806860800,13,1/8192,1/549755813888
15,13,3,1,2,27,29,16048980806860800,13,1/8192,1/549755813888
16,13,1,1,0,29,29,32097961613721600,13,1/8192,1/549755813888
17,13,1,1,0,30,30,2139864107581440,13,1/8192,1/549755813888
14,14,3,2,1,27,29,128391846454886400,14,1/16384,1/4398046511104
15,14,1,1,0,29,29,32097961613721600,14,1/16384,1/4398046511104
16,14,1,0,1,30,30,128391846454886400,14,1/16384,1/4398046511104
15,15,1,1,0,30,30,128391846454886400,15,1/32768,1/35184372088832
