qd_power,qdm1_power,Y_power,coefficient,sign,monomial
1,0,-6,128/315,+,Y^-6*q_d
1,0,-5,28544/945,+,Y^-5*q_d
1,0,-4,2414336/2835,+,Y^-4*q_d
1,0,-3,13654976/1215,+,Y^-3*q_d
1,0,-2,237117173/3645,+,Y^-2*q_d
1,0,-1,111452545/2187,+,Y^-1*q_d
1,0,0,-220613278529/262440,-,q_d
1,0,1,-242769294923/196830,-,Y*q_d
1,0,2,945698772849559/151165440,+,Y^2*q_d
1,0,3,558011299402919/151165440,+,Y^3*q_d
1,0,4,-593281623680831/22394880,-,Y^4*q_d
1,0,5,200150896325149/16796160,+,Y^5*q_d
1,0,6,3223975903855189/80621568,+,Y^6*q_d
1,0,7,-1259376337118291/26873856,-,Y^7*q_d
1,0,8,-77305890317467/35831808,-,Y^8*q_d
1,0,9,496267635986255/17915904,+,Y^9*q_d
1,0,10,-1157450029761641/95551488,-,Y^10*q_d
1,0,11,-117452842057565/95551488,-,Y^11*q_d
1,0,12,476810120766595/382205952,+,Y^12*q_d
2,0,-6,-128/315,-,Y^-6*q_d^2
2,0,-5,-30848/945,-,Y^-5*q_d^2
2,0,-4,-2860352/2835,-,Y^-4*q_d^2
2,0,-3,-24984352/1701,-,Y^-3*q_d^2
2,0,-2,-348373301/3645,-,Y^-2*q_d^2
2,0,-1,-1301067917/10935,-,Y^-1*q_d^2
2,0,0,65285025073/52488,+,q_d^2
2,0,1,1955323886501/787320,+,Y*q_d^2
2,0,2,-1498286561111959/151165440,-,Y^2*q_d^2
2,0,3,-159345042308837/16796160,-,Y^3*q_d^2
2,0,4,28564038769110383/604661760,+,Y^4*q_d^2
2,0,5,-20968253656133/1574640,-,Y^5*q_d^2
2,0,6,-33227354185904491/403107840,-,Y^6*q_d^2
2,0,7,1269998618184913/14929920,+,Y^7*q_d^2
2,0,8,7583983599146981/537477120,+,Y^8*q_d^2
2,0,9,-1977117651654467/33592320,-,Y^9*q_d^2
2,0,10,136494972538393/5898240,+,Y^10*q_d^2
2,0,11,3223159955866823/859963392,+,Y^11*q_d^2
2,0,12,-9582431776809661/3439853568,-,Y^12*q_d^2
2,0,13,-127776814165/7962624,-,Y^13*q_d^2
3,0,-5,256/105,+,Y^-5*q_d^3
3,0,-4,165376/945,+,Y^-4*q_d^3
3,0,-3,11642912/2835,+,Y^-3*q_d^3
3,0,-2,115688/3,+,Y^-2*q_d^3
3,0,-1,350461552/3645,+,Y^-1*q_d^3
3,0,0,-10988920787/21870,-,q_d^3
3,0,1,-155036365417/87480,-,Y*q_d^3
3,0,2,14730908529137/3149280,+,Y^2*q_d^3
3,0,3,669175786278107/75582720,+,Y^3*q_d^3
3,0,4,-855449852631815/30233088,-,Y^4*q_d^3
3,0,5,-86882813043737/50388480,-,Y^5*q_d^3
3,0,6,25381689918410663/403107840,+,Y^6*q_d^3
3,0,7,-20743937102443819/403107840,-,Y^7*q_d^3
3,0,8,-37517126270235547/1612431360,-,Y^8*q_d^3
3,0,9,38438005009176311/806215680,+,Y^9*q_d^3
3,0,10,-10694577571081733/716636160,-,Y^10*q_d^3
3,0,11,-5272104774240647/1074954240,-,Y^11*q_d^3
3,0,12,63988244824736743/25798901760,+,Y^12*q_d^3
3,0,13,48943813559599/859963392,+,Y^13*q_d^3
4,0,-4,-1856/105,-,Y^-4*q_d^4
4,0,-3,-74752/105,-,Y^-3*q_d^4
4,0,-2,-3781592/405,-,Y^-2*q_d^4
4,0,-1,-2889304/81,-,Y^-1*q_d^4
4,0,0,137978296/1215,+,q_d^4
4,0,1,14708360249/21870,+,Y*q_d^4
4,0,2,-420220342069/349920,-,Y^2*q_d^4
4,0,3,-4309506783239/1049760,-,Y^3*q_d^4
4,0,4,2835063309362041/302330880,+,Y^4*q_d^4
4,0,5,52730123843195/10077696,+,Y^5*q_d^4
4,0,6,-10951983007767211/403107840,-,Y^6*q_d^4
4,0,7,1251068884027189/80621568,+,Y^7*q_d^4
4,0,8,27842410608932713/1612431360,+,Y^8*q_d^4
4,0,9,-3586198312599343/161243136,-,Y^9*q_d^4
4,0,10,26866845197748983/6449725440,+,Y^10*q_d^4
4,0,11,73797748760207101/19349176320,+,Y^11*q_d^4
4,0,12,-3170385541919687/2418647040,-,Y^12*q_d^4
4,0,13,-94557089930947/1074954240,-,Y^13*q_d^4
4,0,14,-6093394657/71663616,-,Y^14*q_d^4
5,0,-3,17152/315,+,Y^-3*q_d^5
5,0,-2,37568/27,+,Y^-2*q_d^5
5,0,-1,708704/81,+,Y^-1*q_d^5
5,0,0,-3507722/243,-,q_d^5
5,0,1,-263974129/1458,-,Y*q_d^5
5,0,2,33034402481/174960,+,Y^2*q_d^5
5,0,3,115206536321/87480,+,Y^3*q_d^5
5,0,4,-1116446127251/524880,-,Y^4*q_d^5
5,0,5,-29552178215981/10077696,-,Y^5*q_d^5
5,0,6,1110441680432443/134369280,+,Y^6*q_d^5
5,0,7,-94561462990787/44789760,-,Y^7*q_d^5
5,0,8,-2639584565934761/322486272,-,Y^8*q_d^5
5,0,9,477947256541783/67184640,+,Y^9*q_d^5
5,0,10,237231405247991/1433272320,+,Y^10*q_d^5
5,0,11,-15814820188605235/7739670528,-,Y^11*q_d^5
5,0,12,7766008393871777/17199267840,+,Y^12*q_d^5
5,0,13,1608971722536563/19349176320,+,Y^13*q_d^5
5,0,14,73080382277/159252480,+,Y^14*q_d^5
6,0,-2,-1408/15,-,Y^-2*q_d^6
6,0,-1,-174464/135,-,Y^-1*q_d^6
6,0,0,-55132/405,-,q_d^6
6,0,1,13966262/405,+,Y*q_d^6
6,0,2,-355253161/58320,-,Y^2*q_d^6
6,0,3,-55763955497/174960,-,Y^3*q_d^6
6,0,4,441850143719/1399680,+,Y^4*q_d^6
6,0,5,219886004803/209952,+,Y^5*q_d^6
6,0,6,-766252502305259/403107840,-,Y^6*q_d^6
6,0,7,-160224026653541/403107840,-,Y^7*q_d^6
6,0,8,4611827422186111/1612431360,+,Y^8*q_d^6
6,0,9,-106466772677923/67184640,-,Y^9*q_d^6
6,0,10,-9343873598660111/12899450880,-,Y^10*q_d^6
6,0,11,2089227720239107/2579890176,+,Y^11*q_d^6
6,0,12,-11877104473544947/154793410560,-,Y^12*q_d^6
6,0,13,-2164489134607499/38698352640,-,Y^13*q_d^6
6,0,14,-515198971231/477757440,-,Y^14*q_d^6
6,0,15,-201768035/429981696,-,Y^15*q_d^6
7,0,-1,256/3,+,Y^-1*q_d^7
7,0,0,14464/45,+,q_d^7
7,0,1,-1645232/405,-,Y*q_d^7
7,0,2,-1952183/405,-,Y^2*q_d^7
7,0,3,176755861/3240,+,Y^3*q_d^7
7,0,4,-5140436981/349920,-,Y^4*q_d^7
7,0,5,-369278886937/1399680,-,Y^5*q_d^7
7,0,6,5117171689543/16796160,+,Y^6*q_d^7
7,0,7,34245346086871/100776960,+,Y^7*q_d^7
7,0,8,-303223203524713/403107840,-,Y^8*q_d^7
7,0,9,34823818895369/201553920,+,Y^9*q_d^7
7,0,10,509915083686533/1289945088,+,Y^10*q_d^7
7,0,11,-379201535045879/1612431360,-,Y^11*q_d^7
7,0,12,-566857783849049/25798901760,-,Y^12*q_d^7
7,0,13,537430642534919/19349176320,+,Y^13*q_d^7
7,0,14,6320651230201/4299816960,+,Y^14*q_d^7
7,0,15,2081093161/644972544,+,Y^15*q_d^7
8,0,0,-32,-,q_d^8
8,0,1,1984/9,+,Y*q_d^8
8,0,2,47152/45,+,Y^2*q_d^8
8,0,3,-1406614/243,-,Y^3*q_d^8
8,0,4,-586872523/116640,-,Y^4*q_d^8
8,0,5,15765402317/349920,+,Y^5*q_d^8
8,0,6,-133973562277/5598720,-,Y^6*q_d^8
8,0,7,-13540537193/124416,-,Y^7*q_d^8
8,0,8,11174256122795/80621568,+,Y^8*q_d^8
8,0,9,107848921117/2985984,+,Y^9*q_d^8
8,0,10,-857382756977887/6449725440,-,Y^10*q_d^8
8,0,11,275477106404101/6449725440,+,Y^11*q_d^8
8,0,12,38798021455711/1612431360,+,Y^12*q_d^8
8,0,13,-64157918974751/6449725440,-,Y^13*q_d^8
8,0,14,-5638910805199/4299816960,-,Y^14*q_d^8
8,0,15,-1389317041/143327232,-,Y^15*q_d^8
8,0,16,-5764801/3439853568,-,Y^16*q_d^8
9,0,2,-224/3,-,Y^2*q_d^9
9,0,3,7672/27,+,Y^3*q_d^9
9,0,4,450968/405,+,Y^4*q_d^9
9,0,5,-27256145/5832,-,Y^5*q_d^9
9,0,6,-1210507249/699840,-,Y^6*q_d^9
9,0,7,14416290917/699840,+,Y^7*q_d^9
9,0,8,-969351101593/67184640,-,Y^8*q_d^9
9,0,9,-18178295500253/806215680,-,Y^9*q_d^9
9,0,10,382103902646921/12899450880,+,Y^10*q_d^9
9,0,11,-1548257207287/2579890176,-,Y^11*q_d^9
9,0,12,-182729990334829/17199267840,-,Y^12*q_d^9
9,0,13,9580030555291/4299816960,+,Y^13*q_d^9
9,0,14,876410578183/1074954240,+,Y^14*q_d^9
9,0,15,21554590939/1289945088,+,Y^15*q_d^9
9,0,16,5764801/429981696,+,Y^16*q_d^9
10,0,4,-686/9,-,Y^4*q_d^10
10,0,5,17983/81,+,Y^5*q_d^10
10,0,6,2356949/3888,+,Y^6*q_d^10
10,0,7,-786183097/349920,-,Y^7*q_d^10
10,0,8,25472111/2239488,+,Y^8*q_d^10
10,0,9,23662051735/4478976,+,Y^9*q_d^10
10,0,10,-3322313392811/859963392,-,Y^10*q_d^10
10,0,11,-18343192220017/7739670528,-,Y^11*q_d^10
10,0,12,447854806978187/154793410560,+,Y^12*q_d^10
10,0,13,-263775427853/3224862720,-,Y^13*q_d^10
10,0,14,-772582512107/2149908480,-,Y^14*q_d^10
10,0,15,-23560741687/1289945088,-,Y^15*q_d^10
10,0,16,-40353607/859963392,-,Y^16*q_d^10
11,0,6,-2401/54,-,Y^6*q_d^11
11,0,7,53165/486,+,Y^7*q_d^11
11,0,8,2453479/12960,+,Y^8*q_d^11
11,0,9,-5437653431/8398080,-,Y^9*q_d^11
11,0,10,52702999237/403107840,+,Y^10*q_d^11
11,0,11,14520414257209/19349176320,+,Y^11*q_d^11
11,0,12,-1989070343729/4299816960,-,Y^12*q_d^11
11,0,13,-355825854223/2418647040,-,Y^13*q_d^11
11,0,14,17254755287/159252480,+,Y^14*q_d^11
11,0,15,5678328985/429981696,+,Y^15*q_d^11
11,0,16,40353607/429981696,+,Y^16*q_d^11
12,0,8,-84035/5184,-,Y^8*q_d^12
12,0,9,1587061/46656,+,Y^9*q_d^12
12,0,10,49227703/1399680,+,Y^10*q_d^12
12,0,11,-21951260149/201553920,-,Y^11*q_d^12
12,0,12,1946334037151/77396705280,+,Y^12*q_d^12
12,0,13,2203602392453/38698352640,+,Y^13*q_d^12
12,0,14,-84709515331/4299816960,-,Y^14*q_d^12
12,0,15,-8226371027/1289945088,-,Y^15*q_d^12
12,0,16,-201768035/1719926784,-,Y^16*q_d^12
13,0,10,-117649/31104,-,Y^10*q_d^13
13,0,11,7243817/1119744,+,Y^11*q_d^13
13,0,12,133834141/33592320,+,Y^12*q_d^13
13,0,13,-38109418711/3869835264,-,Y^13*q_d^13
13,0,14,1590261533/1433272320,+,Y^14*q_d^13
13,0,15,2588395649/1289945088,+,Y^15*q_d^13
13,0,16,40353607/429981696,+,Y^16*q_d^13
14,0,12,-823543/1492992,-,Y^12*q_d^14
14,0,13,18470893/26873856,+,Y^13*q_d^14
14,0,14,1264373803/4299816960,+,Y^14*q_d^14
14,0,15,-40353607/107495424,-,Y^15*q_d^14
14,0,16,-40353607/859963392,-,Y^16*q_d^14
15,0,14,-823543/17915904,-,Y^14*q_d^15
15,0,15,40353607/1289945088,+,Y^15*q_d^15
15,0,16,5764801/429981696,+,Y^16*q_d^15
16,0,16,-5764801/3439853568,-,Y^16*q_d^16
1,1,-6,128/315,+,Y^-6*q_d*q_{d-1}
1,1,-5,28928/945,+,Y^-5*q_d*q_{d-1}
1,1,-4,499648/567,+,Y^-4*q_d*q_{d-1}
1,1,-3,20492128/1701,+,Y^-3*q_d*q_{d-1}
1,1,-2,273965573/3645,+,Y^-2*q_d*q_{d-1}
1,1,-1,1125318332/10935,+,Y^-1*q_d*q_{d-1}
1,1,0,-44402743681/52488,-,q_d*q_{d-1}
1,1,1,-1571161530581/787320,-,Y*q_d*q_{d-1}
1,1,2,179120087950475/30233088,+,Y^2*q_d*q_{d-1}
1,1,3,25999780075621/2799360,+,Y^3*q_d*q_{d-1}
1,1,4,-17305146159686899/604661760,-,Y^4*q_d*q_{d-1}
1,1,5,-52131200506177/8398080,-,Y^5*q_d*q_{d-1}
1,1,6,2790481509270973/44789760,+,Y^6*q_d*q_{d-1}
1,1,7,-1460146586530639/40310784,-,Y^7*q_d*q_{d-1}
1,1,8,-3935880186400379/107495424,-,Y^8*q_d*q_{d-1}
1,1,9,132130344449971/2985984,+,Y^9*q_d*q_{d-1}
