j,n,d,level,value
6,4,11,L4,-431605/384
6,4,11,L6,-21528305/4608
6,4,11,L8,-2664330505/49152
6,5,12,L2,1373/4
6,5,12,L4,-46789/32
6,5,12,L6,-683029/96
6,5,12,L8,-68672921/1024
6,6,13,L2,3067/8
6,6,13,L4,-236839/128
6,6,13,L6,-15559649/1536
6,6,13,L8,-1246656899/16384
6,7,14,L2,847/2
6,7,14,L4,-27461/12
6,7,14,L6,-7923181/576
6,7,14,L8,-240581761/3072
6,8,15,L2,3709/8
6,8,15,L4,-355391/128
6,8,15,L6,-27693791/1536
6,8,15,L8,-1151443731/16384
7,0,8,L2,217
7,0,8,L4,-3507/8
7,0,8,L6,679/2
7,0,8,L8,-6709563/256
7,1,9,L2,2163/8
7,1,9,L4,-79815/128
7,1,9,L6,-302999/512
7,1,9,L8,-881654931/16384
7,2,10,L2,1295/4
7,2,10,L4,-27901/32
7,2,10,L6,-213371/96
7,2,10,L8,-73320781/768
7,3,11,L2,3017/8
7,3,11,L4,-151479/128
7,3,11,L6,-2366969/512
7,3,11,L8,-7507745993/49152
7,4,12,L2,861/2
7,4,12,L4,-12465/8
7,4,12,L6,-125807/16
7,4,12,L8,-29049739/128
7,5,13,L2,3871/8
7,5,13,L4,-255487/128
7,5,13,L6,-18451193/1536
7,5,13,L8,-15686750921/49152
7,6,14,L2,2149/4
7,6,14,L4,-79905/32
7,6,14,L6,-274267/16
7,6,14,L8,-330352057/768
7,7,15,L2,4725/8
7,7,15,L4,-391839/128
7,7,15,L6,-11940117/512
7,7,15,L8,-9183315603/16384
7,8,16,L2,644
7,8,16,L4,-29509/8
7,8,16,L6,-367429/12
7,8,16,L8,-181896739/256
8,0,9,L2,627/2
8,0,9,L4,-21435/32
8,0,9,L6,102791/128
8,0,9,L8,-304560057/4096
8,1,10,L2,382
8,1,10,L4,-29089/32
8,1,10,L6,-248843/384
8,1,10,L8,-868100449/6144
8,2,11,L2,901/2
8,2,11,L4,-19615/16
8,2,11,L6,-151679/48
8,2,11,L8,-990083905/4096
8,3,12,L2,519
8,3,12,L4,-25929/16
8,3,12,L6,-437783/64
8,3,12,L8,-97664325/256
8,4,13,L2,1175/2
8,4,13,L4,-66973/32
8,4,13,L6,-4529945/384
8,4,13,L8,-6962602463/12288
8,5,14,L2,656
8,5,14,L4,-84575/32
8,5,14,L6,-6964477/384
8,5,14,L8,-1644888191/2048
8,6,15,L2,1449/2
8,6,15,L4,-13083/4
8,6,15,L6,-1661933/64
8,6,15,L8,-4494813141/4096
8,7,16,L2,793
8,7,16,L4,-15905/4
8,7,16,L6,-3398153/96
8,7,16,L8,-139732375/96
8,8,17,L2,1723/2
8,8,17,L4,-152303/32
8,8,17,L6,-17868823/384
8,8,17,L8,-7717497505/4096
