term_id,ell,total_weight,num_atoms,partition,coefficient,monomial
1,4,8,1,8,1,E8
2,4,8,2,1+7,1,E1*E7
3,4,8,2,2+6,1,E2*E6
5,4,8,2,3+5,1,E3*E5
8,4,8,2,4+4,1/2,E4*E4
4,4,8,3,1+1+6,1/2,E1*E1*E6
6,4,8,3,1+2+5,1,E1*E2*E5
9,4,8,3,1+3+4,1,E1*E3*E4
10,4,8,3,2+2+4,1/2,E2*E2*E4
13,4,8,3,2+3+3,1/2,E2*E3*E3
7,4,8,4,1+1+1+5,1/6,E1*E1*E1*E5
11,4,8,4,1+1+2+4,1/2,E1*E1*E2*E4
14,4,8,4,1+1+3+3,1/4,E1*E1*E3*E3
15,4,8,4,1+2+2+3,1/2,E1*E2*E2*E3
18,4,8,4,2+2+2+2,1/24,E2*E2*E2*E2
12,4,8,5,1+1+1+1+4,1/24,E1*E1*E1*E1*E4
16,4,8,5,1+1+1+2+3,1/6,E1*E1*E1*E2*E3
19,4,8,5,1+1+2+2+2,1/12,E1*E1*E2*E2*E2
17,4,8,6,1+1+1+1+1+3,1/120,E1*E1*E1*E1*E1*E3
20,4,8,6,1+1+1+1+2+2,1/48,E1*E1*E1*E1*E2*E2
21,4,8,7,1+1+1+1+1+1+2,1/720,E1*E1*E1*E1*E1*E1*E2
22,4,8,8,1+1+1+1+1+1+1+1,1/40320,E1*E1*E1*E1*E1*E1*E1*E1
